0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;B
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B
h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B
h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
A;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;A;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;A;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;h;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;h;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;A;A;B;B;B;0;0;0;0;0;0;0;h;h;h;h;B;B;B
B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;A;A;B;B;B;B;B;0;0;0;0;0;A;h;h;h;B;B;B
B;B;B;B;B;B;B;0;0;0;0;0;0;0;d;0;0;0;0;B;B;B;B;B;B;B;B;B;0;0;0;0;0;A;A;A;h;B;B;B
B;B;B;B;B;B;B;B;0;0;0;d;d;d;d;0;0;0;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;A;A;B;B;B
B;B;B;B;B;B;B;B;0;d;d;d;d;d;d;d;0;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;B;B;0;0;B;B;B;0;d;d;d;d;d;d;d;0;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B
B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B
B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B
h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;h;h
A;h;h;h;h;B;0;0;0;0;0;0;d;d;d;0;0;0;0;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;h;h
h;A;A;h;h;B;B;0;0;0;0;d;d;d;d;0;0;0;0;B;h;h;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;B;h;h
h;h;h;h;A;B;B;0;0;0;0;d;B;B;d;d;0;0;0;B;h;h;h;h;h;h;B;B;B;B;B;B;B;B;B;B;B;h;h;8
h;h;h;h;A;B;B;0;0;0;0;d;B;B;B;d;d;d;0;h;h;h;h;h;h;h;B;B;B;B;B;B;B;B;B;B;B;h;h;h
