h;h;h;A;B;B;B;0;0;0;0;d;B;B;B;d;d;d;0;h;h;h;h;h;h;h;B;B;B;B;B;B;B;B;B;B;B;h;h;h
h;A;B;B;B;B;B;0;0;0;0;d;d;d;d;d;d;d;0;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;h;h
B;B;B;B;d;d;d;0;0;0;0;d;d;h;h;h;B;B;0;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
B;B;B;B;d;d;d;0;0;0;0;d;d;h;h;h;A;A;0;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
B;B;B;B;d;d;d;0;0;0;0;d;d;B;h;h;h;h;0;B;B;B;B;B;d;d;d;d;d;B;B;h;h;h;h;B;B;B;B;B
B;B;B;B;d;d;d;0;0;0;0;d;d;B;B;B;B;B;0;B;B;B;B;d;d;d;d;d;d;h;h;h;h;A;A;B;B;B;B;B
B;B;B;B;B;B;d;0;0;0;0;d;d;B;B;B;B;B;0;B;0;0;0;0;0;0;0;d;d;h;A;A;A;B;B;B;B;B;B;B
B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B
B;B;B;B;B;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;B;B
B;B;B;B;B;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;B;B
B;B;B;B;B;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;h;h;B;B
B;B;B;B;B;A;h;h;0;B;B;B;B;d;d;d;d;B;0;0;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;A;A;B;B
B;B;B;B;B;B;A;h;0;B;B;B;d;d;d;d;d;B;0;0;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;A;A;B;B
B;B;B;B;B;B;A;A;0;B;B;B;d;d;d;d;B;B;B;0;B;B;B;h;h;h;h;0;0;0;0;0;0;0;0;0;B;B;B;B
B;B;B;B;B;B;B;B;0;B;B;B;B;B;B;B;B;B;B;0;h;h;h;h;h;h;h;0;0;0;0;0;0;0;0;0;B;B;B;B
B;B;B;B;B;B;B;B;0;B;B;B;B;B;B;B;B;B;B;0;h;h;h;h;h;h;h;0;0;0;0;0;0;0;0;0;d;B;B;B
B;B;B;B;B;0;0;0;0;0;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d;B;B;B
B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d;d;B;B;B
B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d;d;B;B;B
B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d;d;B;B;B
B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;B;B;B
B;B;B;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;B;B;B
