B;B;B;B;B;B;B;B;A;A;A;0;d;d;d;d;d;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;h;h;h;B;B
B;B;B;B;B;B;B;B;B;A;A;0;d;d;d;d;B;B;B;B;B;B;d;d;d;d;d;d;d;B;B;B;B;B;B;h;h;h;B;B
B;B;B;B;B;B;B;B;B;A;A;0;d;d;0;0;0;0;0;0;0;0;d;d;d;d;d;d;d;0;0;0;B;B;B;B;B;B;B;B
B;B;B;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B
B;B;B;B;B;B;d;d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B
B;B;B;B;B;d;d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
h;h;h;B;B;d;d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
h;h;h;B;B;d;d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
h;h;B;B;B;d;d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;A;B;B;B;d;d;d;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;A;B;B;B;B;B;B;B;B;B;0;0;0;0;B;B;B;B;B;B;d;d;d;d;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0
B;B;B;B;B;B;B;B;B;B;B;0;0;0;0;B;B;B;B;B;B;d;d;d;d;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0
B;B;B;B;B;B;A;h;h;0;0;0;0;0;0;0;0;B;B;B;B;B;d;d;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0
B;B;B;B;B;B;A;A;h;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0
B;B;B;B;B;B;B;A;A;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;B;B;d;d;d;d;B;B;B;B;B;B;h;h;h;h
B;B;B;B;B;B;B;A;A;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;B;d;d;d;d;d;d;B;B;B;B;B;h;h;h;h
B;B;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;B;B;B;h;h;h;B;0;0;0;0;0;d;d;B;B;B;B;B;h;h;h;h
h;h;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;B;B;B;h;h;h;0;0;0;0;0;0;0;0;B;B;B;B;B;h;h;h;h
h;h;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;B;B;A;h;h;h;0;0;0;0;0;0;0;0;0;B;B;B;B;B;h;h;h
h;A;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;B;h;h;h;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;h;h
A;A;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;B;h;h;h;0;0;0;0;0;0;d;d;0;0;0;0;B;B;B;B;B;h
B;B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;A;h;h;B;0;0;d;d;d;d;d;B;0;0;0;B;B;B;B;B;B
B;B;B;B;B;B;B;0;0;0;0;0;0;0;0;0;0;0;0;B;A;h;B;B;B;d;d;d;d;h;h;h;h;0;B;B;B;B;B;B
B;B;B;B;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;B;A;A;B;B;B;B;d;B;h;h;h;h;h;0;B;B;B;B;B;B
B;B;B;B;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;B;A;A;B;B;B;B;B;B;h;h;h;h;0;0;0;B;B;B;B;B
B;B;B;A;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;B;B;B;0;0;0;0;0;0;0;B;B;B;B
B;B;B;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B;B;A;h;h;0;0;0;0;0;0;0;0;B;B;B
B;B;B;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;B;0;0;A;A;0;h;h;h;0;0;0;0;B;B;B
B;B;B;B;h;h;A;0;0;0;0;0;0;0;0;0;0;0;0;B;B;B;B;B;0;0;0;0;0;0;A;h;h;0;0;0;0;0;h;h
h;B;B;B;h;A;B;B;0;0;0;0;0;0;0;0;0;0;d;B;B;B;B;B;0;0;0;0;0;0;0;A;A;0;0;0;0;0;h;h
h;h;B;B;A;A;B;B;0;0;0;0;0;0;0;0;0;0;d;B;B;B;B;0;0;0;0;0;0;0;0;A;A;B;0;0;0;0;0;h
h;h;h;B;A;A;B;B;B;0;0;0;0;0;0;0;0;d;d;B;h;B;B;0;0;0;0;0;0;0;0;B;B;B;B;0;0;0;0;h
h;h;h;B;B;B;B;B;B;B;0;0;0;0;0;0;d;d;d;h;h;B;B;0;0;0;0;0;0;0;B;B;B;B;B;B;B;0;B;B
h;h;h;h;B;B;B;B;B;B;0;0;0;0;0;0;d;d;h;h;h;B;0;0;0;0;0;0;B;B;B;B;B;B;B;B;B;B;B;B
