L;L;L;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;L;L;L;L;L;L;L;L;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
L;L;L;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;L;L;L;L;0;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
L;L;L;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
L;L;L;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
L;L;L;L;L;L;L;L;0;0;0;0;0;0;L;L;L;L;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;L;L
