I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;H;H;I;I;I;I;I;I;I;I;I;I;0;0;0;0;I;I;I;I;I;I;I;I;I;I
I;I;I;I;I;0;0;0;0;I;I;I;0;0;I;I;I;I;I;I;I;I;0;0;I;I;I;I;I;I;I;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;H;H;I;I;I;I;I;I;I;I;I;I;0;0;0;0;I;I;I;I;I;I;I;I;I;I
I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;0;0;0;0;0;0;0;0;I;I;I;I;T;T;T;T;T;I;I;I;I;I;I;T;T;T;T;T;H;H;I;I;I;I;I;I;I;I;I;I;0;0;0;0;I;H;I;I;I;I;I;I;I;I
I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;T;T;T;T;T;I;I;I;I;I;I;T;T;T;T;T;H;H;I;I;I;I;I;I;I;I;I;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;T;T;T;T;I;I;I;I;I;I;T;T;T;T;T;H;H;I;I;I;I;I;I;I;I;I;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;0;0;0;I;I;I;I;I;I;I;T;T;T;T;T;H;H;I;I;I;I;I;I;I;I;I;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;0;0;0;I;I;I;I;I;I;I;T;T;T;T;T;H;H;I;I;I;I;I;I;I;I;I;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I;I;I;I;I;I;H;H;I;I;I;I;I;I;I;I;I;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I;I;I;I;I;I;H;H;I;I;I;I;I;I;I;I;I;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I;I;I;I;I;I;H;H;I;I;I;I;I;0;0;0;0;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I;I;I;I;I;I;H;H;I;I;I;I;I;0;0;0;0;H;0;0;0;0;0;H;I;I;I;I;I;I;I;I
H;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;H;0;0;0;0;0;0;I;I;I;I;I;I;I;I
H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;H;0;0;0;0;0;0;0;I;I;I;I;I;I;I
H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I
