R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Q;Q;Q;Q;0;0;0;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;R;Q;Q;Q;Z;Z;Q;Q;Q;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;Q;Q;Q;Q;0;0;0;0;0;0;0;0;Q;R;R;R;R;R;R;R;R;R;R;R;Q;Q;Q;Z;Z;Q;R;R;0;0;0;0;0;0;0;0;0;0;0;0;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;Q;Q;Q;Q;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;Z;Z;Z;Z;Q;R;R;Q;Q;Q;Q;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;R;R;R;R;R;W;W;0;Q;Q;Q;Q;Q;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;Q;Q;Q;Q;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;Z;Z;Z;Z;Q;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;R;R;R;R;W;W;W;Z;Z;Q;Q;Q;Q;Q;0;0;0;Q;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;Q;Q;Q;Q;Q;Q;Q;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;W;W;Z;Z;Z;W;W;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;R;R;R;W;W;Z;Z;Z;Z;Z;Z;Q;Q;Z;Z;Z;Q;Z;Z;Z;R;R;W;W;R;R;R;R;R;0;0;0;0;0;0;0;0
0;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;Q;Q;Q;Q;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;W;Z;Z;Z;Z;W;W;W;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;R;R;R;W;W;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;W;Z;Z;W;W;R;R;R;R;0;0;0;0;0;0;0;0
0;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;W;Z;Z;Z;Z;Z;Z;W;W;R;R;R;R;R;R;R;R;R;R;R;0;0;R;R;R;R;R;R;0;R;R;R;W;Z;Z;Z;0;0;0;Q;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;W;W;W;W;W;W;0;0;0;0;0;Z;Z;Z
0;0;0;0;0;R;R;R;R;R;R;0;0;0;0;0;0;R;R;R;R;0;0;0;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;Z;Z;Z;Z;Z;Z;Z;W;W;W;R;R;R;R;R;W;W;R;R;0;0;0;0;R;R;R;R;R;R;R;R;W;Z;Z;Z;0;0;0;0;0;Q;Q;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Q;Q;Q;0;0;0;0;0;Z;Z;Z
R;R;R;0;0;R;R;R;R;R;R;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;Z;Z;Z;Z;Z;Z;Z;W;W;W;W;W;W;Z;Z;R;R;0;0;0;0;0;0;R;R;R;R;R;R;R;Z;W;R;0;0;0;0;0;0;Q;Q;Q;Z;Q;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Q;Q;Q;Q;0;0;0;0;0;Z;Z;Z
R;R;R;0;0;0;0;0;R;R;0;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;R;R;R;R;R;R;R;R;R;0;0;R;R;R;R;R;0;0;0;Z;Z;Z;Z;Z;Z;Z;Z;Z;W;W;Z;Z;0;R;R;0;0;0;0;0;0;R;R;R;R;R;R;0;R;R;R;0;0;0;0;0;0;0;Q;Q;Q;Q;Q;Z;Z;Z;Z;Z;Q;Z;Z;Z;Q;Q;Q;0;0;0;0;0;0;0;Z;Z
