m;m;m;m;m;m;m;m;m;m;n;n;n;n;n;n;n;m;m;m;m;m;m;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;m;m;m;m;m;m;m;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;n;n;n;m;m;m;n;n;n;n;n;m;m;m;m;n;n;n;n;n;n;m;m;m;m;n;n;n;n;n;m;m;m;m;n;n;n;m;m;n;n;n;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;n;n;m;m;m;m;m;m;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;n;n;n;m;m;n;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;n;n;n;n;m;m;n;n;n;n;n;m;m;m;n;n;m;m;n;n;n;n;m;m;m;n;n;n;n;n;m;m;m;n;n;n;m;m;n;n;n;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
m;m;m;m;m;0;0;0;0;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;0;0;0;0;n;n;n;n;n;n;n;n;n;m;m;m;m;n;n;n;m;m;n;m;m;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;m;m;m;m;m;m;m;m;m;n;n;n;n;m;m;m;n;n;n;n;n;m;m;n;n;n;n;n;m;n;n;m;m;m;m;n;n;n;n;n;n;m;m;m;n;n;m;m;n;n;n;m;m;n;n;n;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
m;m;m;0;0;0;0;0;0;m;m;m;m;m;n;n;n;n;n;n;n;n;n;n;n;0;0;n;n;n;0;0;0;0;n;n;n;n;n;n;n;n;n;m;m;m;m;n;n;n;n;n;n;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;m;m;n;n;n;n;m;m;n;n;n;n;m;m;m;n;n;n;n;n;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;m;n;n;n;n;n;n;0;0;0;0;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;m;m;m;n;n;n;n;n;n;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;n;n;n;m;m;n;n;m;m;n;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;m;n;n;n;n;n;n;n;n;n;m;m;m;m;0;0;0;0;0;0;0;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;m;m;m;n;n;n;0;0;0;0;0;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;m;m;m;n;n;n;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;n;n;m;m;m;m;n;n;m;m;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;m;0;0;0;0;0;0;0;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;m;m;m;m;m;m;m;m;m;n;n;0;0;0;0;0;0;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;m;n;n;n;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;n;n;n;m;m;n;n;m;m;n;m;m;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;m;n;n;n;n;n;n;m;m;m;m;m;0;0;0;0;0;0;0;0;n;n;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0
m;m;m;m;m;m;m;m;m;m;m;m;m;m;0;0;0;0;0;0;0;0;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;m;m;m;m;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;n;n;m;m;n;n;m;m;n;m;m;n;n;m;m;m;n;n;m;m;m;n;n;m;m;m;m;n;n;n;n;n;n;n;n;n;n;n;n;m;m;m;m;m;n;n;n;n;n;n;m;m;m;m;m;0;0;0;0;0;0;0;0;n;n;n;m;m;m;0;0;0;0;0;0;0;0;m;m;m
m;m;m;m;m;m;m;m;m;0;0;0;m;m;0;0;0;0;0;0;0;0;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;m;m;m;m;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;n;m;m;n;n;n;n;n;m;m;n;n;m;m;m;n;n;m;m;m;m;n;m;m;m;n;n;m;m;m;n;m;m;m;n;m;m;n;m;m;m;m;m;n;n;n;n;n;n;m;m;m;0;0;0;0;0;0;0;0;0;0;0;n;n;m;m;m;n;n;n;n;0;0;0;0;m;m;m
m;m;m;m;m;0;0;m;m;0;0;0;0;0;0;0;n;n;n;n;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;n;n;n;n;0;0;0;0;n;n;n;n;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;n;n;m;m;m;m;m;m;m;n;n;m;m;m;m;n;n;m;m;m;m;n;n;n;n;m;n;m;m;m;n;m;m;m;n;m;n;n;m;m;n;n;n;n;n;n;n;n;n;m;m;m;0;0;0;0;0;0;0;0;0;0;0;n;n;n;m;m;n;n;n;n;n;n;n;n;m;m;m
