D;D;D;E;E;E;E;D;D;0;0;0;0;0;0;0;0;0;0;0;D;D;D;D;D;E;E;E;h;h;0;0;0;0;0;D;D;D;D;D;D;D;h;h;h
D;D;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;h;0;0;0;0;0;0;0;D;D;D;D;D;h;h;h
h;h;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D;D;D;D;D;D;h;h
h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D;D;D;D;D;D
D;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D;D;D;D;D;D
D;D;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;D;D;D;D
D;D;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;D;D;D;D
D;D;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D;D;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;D;D;D;D;D
D;D;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D;D;D;D;D;D;0;0;0;0;0;0;0;0;0;0;0;E;E;D;D;D;D;D;D
D;D;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;D;D;D;D;0;0;0;0;0;0;0;0;0;0;0;E;h;h;D;D;D;D;D
D;D;D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;D;D;D;0;0;0;0;0;0;0;0;0;0;0;E;h;h;D;D;D;D;D
D;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;D;D;D;D;D;0;0;0;0;0;0;0;0;0;h;h;D;D;D;D;D;D
h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;D;D;D;D;D;D;0;0;0;0;0;0;0;h;h;D;D;D;E;E;D
h;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;h;h;D;D;D;D;0;0;0;0;0;0;0;E;E;D;D;D;E;E;E
h;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;D;D;D;D;0;0;0;0;0;0;0;E;E;E;0;0;0;E;E
E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;D;D;D;D;0;0;0;0;0;0;0;E;E;E;0;0;0;E;E
E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h
D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h
D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h
D;D;D;0;0;0;0;0;h;h;h;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;h;h;0;0;0;0;0;0;D;D;D;D;D;D;D;h;h
D;D;D;0;0;0;0;0;h;h;h;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;h;h;h;h;0;0;0;0;D;D;D;D;D;D;D;D;h;h
