J;J;J;J;J;F;F;Z;Z;Z;F;F;F;F;Z;F;F;F;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;J;F;F
F;F;F;F;J;F;F;Z;Z;Z;F;F;F;F;Z;F;F;F;J;J;J;J;J;J;J;0;0;0;0;0;0;0;0;J;J;J;J;J;F;F
F;F;F;F;J;F;F;0;0;0;F;F;F;F;0;F;F;F;J;J;J;J;J;J;0;0;0;0;0;0;0;0;0;0;J;J;J;J;F;F
F;F;F;F;0;F;F;0;0;0;F;F;F;F;0;F;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J
F;F;F;F;0;F;F;0;0;0;0;0;0;0;0;F;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;0;0
F;F;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;0;F;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Z;Z;Z;Z;Z;Z;Z;0;0;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Z;Z;Z;Z;Z;Z;Z;0;0;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Z;Z;Z;Z;Z;Z;Z;J;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Z;Z;Z;Z;Z;Z;Z;J;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Z;Z;Z;Z;Z;Z;Z;J;J;J;J;J;J;J
Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;0;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;0;0;0;0;Z;Z;Z;Z;Z;Z;Z;J;J;J;J;J;J;J
