0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;0;m;m;0;0;0;m;m;0;0;m;m;0;m;m;m;m;m;m;m;m;m;m;0;0
s;s;s;s;s;0;0;0;0;0;0;m;m;m;m;m;m;m;0;0;0;m;m;m;m;m;m;0;m;m;m;m;0;m;m;0;0;0;0;0
s;s;s;s;s;0;0;0;0;0;0;0;0;m;m;0;m;m;0;0;0;m;m;m;m;m;m;m;m;m;m;m;0;0;0;0;0;0;0;0
s;s;s;s;s;0;0;0;0;0;0;0;0;m;m;0;m;m;0;0;0;m;m;0;0;m;m;0;m;m;m;0;0;0;0;0;0;0;0;0
s;s;s;s;s;0;0;0;0;0;0;0;0;m;m;0;m;m;0;0;0;m;m;0;0;m;m;0;m;m;0;0;0;0;0;0;0;0;0;m
s;s;s;s;s;0;0;0;0;0;m;m;0;m;m;0;m;m;0;0;0;0;0;0;0;m;m;m;m;m;0;0;0;0;0;0;0;m;0;m
s;s;s;s;s;0;0;0;0;0;m;m;m;m;m;0;m;m;0;0;0;0;0;0;0;m;m;0;m;m;0;0;0;0;0;0;0;m;m;m
s;s;s;s;s;0;0;0;0;0;m;m;m;m;m;0;m;m;0;0;0;0;0;0;0;m;m;0;m;m;0;0;0;0;0;0;m;m;m;m
s;s;s;s;s;m;m;0;0;m;m;m;m;m;m;0;m;m;0;0;0;0;0;0;0;m;m;0;0;0;0;0;0;0;0;0;m;m;m;m
0;0;0;0;m;m;m;0;0;m;m;m;m;m;m;0;m;m;0;0;0;0;0;0;0;0;0;0;0;r;r;r;0;0;0;0;0;0;0;0
0;0;0;0;m;m;m;m;m;m;m;m;m;m;m;0;m;m;0;0;0;0;0;0;0;0;0;0;0;r;r;r;0;0;0;0;0;0;0;0
0;0;0;m;m;m;m;m;m;m;m;m;0;m;m;0;m;m;0;0;0;0;0;0;0;r;r;0;0;r;r;r;0;0;0;0;0;0;0;0
0;0;0;m;m;m;m;m;m;m;m;m;0;m;m;0;m;m;0;0;0;0;0;0;0;r;r;0;0;r;r;r;0;0;0;0;0;0;0;0
0;0;0;m;m;m;m;m;m;m;m;m;0;m;m;0;m;m;0;0;0;0;0;0;0;r;r;m;m;r;r;r;m;m;m;m;m;m;0;0
0;0;0;0;m;m;0;0;0;m;m;m;0;m;m;m;m;m;0;0;0;0;0;m;m;r;r;m;m;m;m;m;m;m;m;m;m;m;0;0
0;0;0;0;m;m;0;0;0;0;0;0;0;m;m;0;m;m;0;0;0;0;0;m;m;m;m;m;m;m;m;m;m;m;m;m;m;m;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;0;m;m;0;0;0;0;0;m;m;m;m;m;m;m;m;m;0;0;0;0;0;m;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;0;0;0;0;0;0;0;0;0;m;m;m;m;m;m;m;p;p;p;p;p;p;m;0;0
0;0;0;0;m;m;m;m;0;0;0;0;0;m;m;s;s;s;s;s;s;s;s;s;0;m;m;m;m;m;m;p;p;p;p;p;p;m;0;0
0;0;0;m;m;m;m;m;0;0;0;0;0;m;m;s;s;s;s;s;s;s;s;s;0;m;m;m;m;m;m;p;p;p;p;p;p;m;0;0
0;0;0;m;m;m;m;m;m;m;m;m;m;m;m;s;s;s;s;s;s;s;s;s;0;m;m;0;m;m;m;p;p;p;p;p;p;0;0;0
0;0;0;m;m;m;m;m;m;m;m;m;m;m;0;s;s;s;s;s;s;s;s;s;0;m;m;m;m;m;m;p;p;p;p;p;p;p;0;0
0;0;0;0;m;m;m;m;m;m;m;0;0;0;0;s;s;s;s;s;s;s;s;s;0;m;m;0;m;m;0;p;p;p;p;p;p;p;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;s;s;s;s;s;s;s;s;s;0;m;m;0;m;m;0;p;p;p;p;p;p;p;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;s;s;s;s;s;s;s;s;s;0;m;m;m;m;m;0;p;p;p;p;m;m;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;s;s;s;s;s;s;s;s;m;m;m;m;0;m;m;m;p;p;p;p;m;m;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;s;s;s;s;s;s;s;s;m;m;m;m;m;m;m;m;m;p;p;p;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;s;s;s;s;s;s;s;s;s;s;s;m;m;m;m;m;m;m;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;0;0;0;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;0;0;0;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;m;m;m;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0
