0;0;0;0;0;m;m;m;m;m;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;0;0;0
4;4;4;4;4;m;m;m;m;m;m;m;4;4;4;4;4;m;m;4;m;m;m;m;m;r;r;r;4;4;4;4;4;4;4;4;4;4;4;4;4;4;m;m;0
p;p;p;p;p;p;m;m;m;m;m;m;m;m;r;r;r;m;m;m;0;0;m;m;m;r;r;r;0;0;0;0;0;4;4;4;4;4;4;4;4;4;m;m;m
p;p;p;p;p;p;m;m;m;m;0;m;m;m;r;r;r;0;m;m;0;0;0;m;m;r;r;r;0;r;r;r;0;0;0;0;0;0;0;0;0;m;m;m;m
p;p;p;p;p;p;m;m;m;m;0;m;m;m;r;r;r;0;0;0;0;0;0;m;m;r;r;r;0;r;r;r;0;0;0;0;0;0;0;0;0;m;m;m;m
p;p;p;p;p;p;m;m;m;m;0;m;m;m;r;r;r;0;0;0;0;0;0;0;0;r;r;r;0;r;r;r;0;0;0;0;0;0;0;0;0;0;m;m;m
p;p;p;p;p;p;m;m;0;0;0;m;m;0;0;0;0;0;0;0;m;0;0;0;0;r;r;r;0;r;r;r;0;0;0;0;0;0;m;m;m;m;0;m;m
p;p;p;p;p;p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;0;0;0;0;0;0;0;r;r;r;r;0;0;0;0;r;m;m;m;m;m;m;m
p;p;p;p;p;p;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;0;0;0;0;0;0;0;0;r;r;r;r;0;0;0;0;r;r;r;m;m;m;m;m
p;p;p;p;p;p;0;0;0;0;0;0;0;0;0;0;0;0;r;r;m;m;0;0;0;0;0;0;0;r;r;r;r;0;0;0;0;r;r;r;4;0;0;0;0
p;p;p;p;p;p;0;0;0;0;0;0;0;0;0;0;0;0;r;r;m;m;0;0;0;0;0;0;0;r;r;r;r;0;0;0;0;0;0;0;4;0;0;0;0
p;p;p;p;p;p;0;0;0;0;0;0;0;0;0;0;0;0;m;0;m;m;0;0;0;0;0;0;0;r;r;r;r;0;0;0;0;0;0;0;4;0;0;0;0
p;p;p;p;p;p;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;m;m;m;r;r;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
m;m;m;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
m;m;m;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;0;0;0;0
m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;0;0;0;0
m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;0;0;0;0
m;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;0;0;0;0;0
0;m;m;m;m;0;0;0;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;0;0;0;0;0;m;m;m;0;0;0;0;0
0;m;m;m;m;m;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;0;0;m;m;m;m;m;0;0;0;0;0
0;m;m;m;m;m;m;m;m;m;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;m;m;m;m;m;m;0;0;0;0;0
0;0;0;m;m;m;m;m;m;m;m;0;m;m;0;0;0;0;0;0;0;0;0;0;0;0;m;m;m;m;m;m;m;m;m;m;m;m;m;0;0;0;0;0;0
