u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;)
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö;ö
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö;ö
u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;0;0;0;u;u;u;u;u;u;u;ö;ö;ö
u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;0;0;0;u;u;u;u;u;u;u;ö;ö;ö
u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;0;0;0;u;u;u;u;u;u;ö;ö;ö;ö
u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;0;0;0;u;u;u;u;u;u;ö;ö;ö;ö
u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;0;0;0;u;u;u;u;u;u;u;u;ö;ö
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;);)
u;u;u;u;u;u;u;u;u;u;u;0;0;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;u;u;0;0;u;u;u;u;u;u;u;u;););)
u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;0;0;0;0;u;u;u;u;u;u;););)
u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;0;0;0;0;u;u;u;u;u;u;u;u;)
u;u;u;u;u;u;u;u;u;u;u;0;0;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;u;0;0;u;u;u;u;u;u;u;u;u;u;)
u;u;u;u;u;u;u;u;u;u;u;0;0;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;0;0;u;u;u;u;u;u;u;u;u;);)
u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;);)
u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u
u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;u;););)
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;u;););)
