1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;G;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;G;1;1;G;1;1;1;1;1;1;1;0;0;0;0;0
1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;G;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;G;1;1;G;1;1;1;1;1;1;1;0;0;0;0;0
1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;G;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;G;G;G;G;1;1;1;1;1;1;1;0;0;0;0;0
1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;G;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;G;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;G;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;G;1;1;1;1;1;1;1;1;1;0;0;0;0;0
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;G;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;G;1;1;1;1;1;1;1;1;1;0;0;0;0;0
9;9;1;1;1;0;0;0;0;0;0;0;0;0;0;G;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;G;1;1;1;1;1;1;1;1;1;0;0;0;0;0
9;9;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
