r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;q;q;q;0;0;0;0;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;q;q;q;q;q;q
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;q;q;q;0;0;0;0;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;r;r;r;q;q;q
r;r;r;r;r;q;q;q;q;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;0;0;0;r;r;r;q;q;q;q;q;q;q;q;q;q;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;q;q;q;q;r;r;r;r;r;r;q;q;q
r;r;r;r;r;q;q;q;q;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;0;0;0;r;r;r;q;q;q;q;q;q;q;q;q;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;q;q;q;q;q;q;r;r;r;r;r;r;q;q;q
r;r;r;r;r;q;q;q;q;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;0;0;0;0;0;r;q;q;r;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
