X;X;X;X;P;P;P;X;X;X;X;X;P;P;P;P;X;X;X;X;X;X;P;P;P;P;P;P;X;X;X;X;X;P;P;P;P;P;P;P;P;X;X;X;X;X;X;X;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P
X;X;X;P;P;P;P;X;X;X;X;X;P;P;P;P;X;X;X;X;X;X;X;P;P;P;P;P;X;X;X;X;X;P;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;X;X;P;P;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P
X;X;X;P;P;P;P;P;P;X;X;X;P;P;P;P;P;X;X;X;X;P;P;P;P;P;P;P;P;P;Q;Q;Q;P;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;X;X;X;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P
X;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;P;P;P;P;P;P;P;P;P;P;P;P;P;P;X;X;X;X;P;P;P;P;P;X;X;X;X;P;P;P;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P;X;X;P;P;P;P;P;P;P;P;P;P;X;X;X;X;X;P;P;P;P
X;P;P;P;P;Q;Q;Q;Q;P;P;P;P;P;P;P;P;P;P;P;P;P;X;X;P;P;P;0;0;0;0;0;0;0;0;0;0;0;0;0;Q;Q;Q;P;P;P;P;P;P;X;X;X;X;P;P;P;P;P;X;X;X;X;P;P;P;P;P;P;P;P;P;P;P;X;X;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;X;X;X;X;X;X;X;P;P;P;P
P;P;P;Q;Q;Q;0;0;0;0;0;0;Q;Q;Q;P;P;P;P;P;P;X;X;X;P;P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;X;X;P;P;P;P;X;X;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;Q;Q;Q;P;P;X;X;X;X;P;P;P;P;P;P;P
P;P;P;0;0;0;0;0;0;0;0;0;0;0;0;P;P;P;P;P;P;X;X;X;P;P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;P;Q;Q;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P;P;P;P;Q;Q;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;P;P;Q;Q;Q;P
P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;Q;Q;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;P;P;Q;Q;Q;Q;P;P;P;P;P;P;P;P;P;P;P;P;P;P;Q;Q;Q;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;Q;Q;Q;Q;P;P;P;P;P;Q;Q;Q;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
