P;P;0;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;X;X;X
P;Q;0;P;P;P;X;X;X;P;P;P;P;P;P;P;P;P;0;0;0;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P
P;Q;0;P;P;P;X;X;X;P;P;P;P;P;P;P;P;P;0;0;0;Q;P;P;P;P;P;P;P;X;X;X;P;P;P;P;P;P;P;P
P;Q;0;P;P;P;X;X;X;P;P;P;P;P;P;P;P;Q;0;0;0;Q;P;P;P;P;P;P;P;X;X;X;X;X;X;P;P;P;P;P
P;Q;0;P;P;P;P;X;X;P;P;P;P;P;P;P;P;Q;0;0;0;Q;P;P;P;P;P;P;P;X;X;X;X;X;X;P;P;P;P;P
P;P;0;P;P;P;P;P;P;P;P;P;P;P;X;X;P;Q;0;0;0;Q;P;P;P;P;P;P;P;P;P;X;X;X;X;P;P;P;P;P
P;P;0;P;P;P;P;P;P;P;P;P;P;P;X;X;P;P;0;0;0;P;P;Q;Q;Q;P;P;P;P;P;X;X;X;X;P;P;P;P;P
P;P;0;P;P;P;P;P;P;P;P;P;P;P;X;X;P;P;0;0;0;0;0;0;0;0;0;P;P;P;P;P;P;P;P;P;P;P;P;P
P;P;0;P;P;Q;Q;Q;P;P;P;P;P;X;X;X;P;P;0;0;0;0;0;0;0;0;0;P;P;P;P;P;P;P;P;P;P;P;P;P
P;P;0;P;P;0;0;0;P;P;P;P;P;X;X;P;P;P;0;0;0;0;0;0;0;0;0;P;P;P;P;P;P;P;P;P;P;P;P;P
P;P;0;P;P;0;P;0;X;X;X;X;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;P;P;P;P;X;X;P;P;P;P;P;P;P
P;P;0;0;0;0;P;0;0;0;X;X;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;Q;P;P;X;X;X;P;P;P;X;X;X;X
P;P;P;P;P;P;P;P;X;0;X;X;P;P;P;P;Q;0;0;0;0;0;0;0;0;0;0;Q;P;P;X;X;X;P;P;P;X;X;X;X
P;P;P;P;P;P;P;P;X;0;X;X;P;P;P;P;Q;0;0;0;0;0;0;0;0;0;0;Q;P;P;X;X;X;P;P;P;X;X;X;X
P;P;P;P;P;P;P;P;P;0;P;P;P;P;P;P;Q;0;0;0;0;0;0;0;0;0;0;Q;P;P;P;P;P;P;P;P;X;X;X;X
X;X;P;P;P;P;P;P;P;0;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;P;P;P;P;P;P;P;P;P;X;X;X;X
