g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g
g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;0;0;0;g;g;g;g;g
g;g;g;g;g;g;g;0;0;0;0;0;0;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;0;0;0;0;0;0;0;g;g;g;g;g;g;g;g;g;g;g;g;0;0;0;0;0;0;g;g;g;g;g;g;0;0;0;g;g;g;g;g;0;0;0;0;0;0;0;g;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;0;0;0;0;0;0;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;0;0;0;0;0;0;g;g;g;g;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;0;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;0;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;0;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;0;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;0;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;0;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;0;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;0;0;0;0;0;0;0;0;g;g;g;g
