h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;d;0;0;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;d;d;0;0;d;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;d;h;0;0;d;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;0;N;N;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;0;N;N;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;0;0;N;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;h;h;h;h;h;h;h;h;h;d;h;h;h;h;h;h;d;0;h;h;h;h;h;h;0;0;0;h;0;h;h;h;h;h;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;d;d;h;h;h;h;h;h;h;d;h;h;h;h;d;d;d;0;h;h;h;h;h;h;0;0;0;h;0;h;h;h;h;h;d;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;d;d;d;d;h;h;h;h;h;d;h;h;h;h;d;d;d;h;h;h;h;h;h;h;h;h;0;h;h;h;h;h;h;h;d;N;N;N;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h
h;h;d;d;d;h;h;h;d;d;d;h;h;h;h;d;d;d;d;h;h;h;h;h;h;h;h;0;h;h;h;h;h;h;d;d;N;N;h;h;h;d;0;h;h;h;h;h;d;d;h;h;h;h
h;h;d;d;d;h;h;0;d;d;h;h;h;h;h;h;d;d;d;h;h;h;0;h;h;h;0;0;h;h;h;h;h;h;d;d;h;h;h;h;h;d;0;N;N;h;h;h;d;d;h;h;h;d
h;h;h;d;h;h;h;h;d;d;N;N;N;N;h;h;d;d;d;h;h;h;N;h;h;h;0;0;h;h;h;0;0;h;d;d;d;h;h;h;h;d;d;N;N;h;h;h;h;d;d;h;N;d
h;h;h;d;h;h;h;N;N;N;N;N;0;0;0;0;d;d;h;h;h;N;N;d;h;h;0;h;h;h;h;0;h;h;d;d;d;h;h;h;h;0;d;N;h;h;h;h;h;h;d;0;N;h
h;h;h;d;0;0;0;N;N;N;h;h;d;d;d;0;d;d;h;h;h;N;N;d;h;h;0;h;h;h;h;0;d;d;d;d;d;h;h;h;h;0;d;d;h;h;0;h;h;h;d;0;0;0
