h;h;h;h;h;h;d;d;0;d;d;d;d;d;d;d;h;h;h;h;h;h;h;d;d;d;0;d;d;d;d;d;d;d;d
h;N;N;h;h;h;N;d;d;d;d;d;d;d;d;d;d;d;d;h;h;h;h;d;d;d;d;d;d;d;d;d;d;d;d
N;N;N;h;0;N;N;d;0;N;N;d;0;d;0;d;d;0;d;0;0;0;0;d;d;0;0;d;d;d;d;d;d;d;d
N;N;h;0;0;N;N;d;0;N;N;d;0;d;d;d;d;d;d;d;d;d;d;d;N;N;N;d;d;d;d;d;d;d;d
h;h;h;0;0;0;N;N;0;d;d;h;d;d;d;d;d;d;d;d;d;d;d;d;d;N;N;d;d;d;d;d;d;d;d
h;h;0;0;0;0;N;N;h;d;d;d;d;N;N;N;N;d;d;d;d;d;0;d;d;0;0;h;h;d;d;d;d;d;d
N;N;0;0;0;0;N;h;h;d;d;d;d;N;N;d;d;d;d;d;d;d;0;d;d;0;h;h;d;d;d;d;d;d;d
N;N;N;0;0;0;0;h;h;d;d;d;d;d;d;d;d;d;d;d;d;d;0;d;d;0;0;0;d;d;d;d;d;d;d
h;N;N;0;0;d;d;d;d;d;d;0;d;d;d;d;d;0;d;d;d;d;d;d;h;d;d;0;d;d;d;d;d;d;d
h;h;0;0;0;0;h;h;h;h;d;0;d;d;0;d;d;0;d;0;d;d;0;d;d;0;0;0;h;d;d;d;d;d;d
h;h;0;0;0;0;0;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;h;h;0;d;d;d;d;d;d;d
h;h;0;0;0;0;0;d;N;N;d;d;d;d;d;d;d;d;d;d;d;d;d;N;N;h;h;0;N;d;d;d;d;d;d
h;N;0;0;0;0;0;0;N;N;N;d;d;d;N;N;d;d;d;d;d;d;N;N;N;0;0;0;N;d;d;d;d;d;d
h;N;N;0;0;0;0;0;N;N;N;d;d;d;N;N;d;d;d;d;d;d;d;0;0;0;d;0;0;d;d;d;d;d;d
h;N;N;0;0;0;0;0;d;d;d;h;d;d;N;d;d;d;d;d;d;d;d;d;0;d;d;d;d;d;d;d;d;d;d
h;h;N;0;0;0;0;0;0;0;d;d;0;d;0;d;d;0;d;0;d;d;0;0;0;0;d;0;0;d;d;d;d;d;d
