d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d;d
d;d;d;d;d;d;d;d;N;N;d;d;d;h;h;d;d;d;d;d;d;d;d;d;d;d;d;h;h;d
d;d;d;d;d;d;d;d;0;N;N;0;0;h;h;h;d;d;d;d;d;d;d;d;d;d;d;h;h;d
d;d;d;d;d;d;d;d;d;N;N;0;0;0;h;h;h;h;d;d;d;d;d;N;N;d;d;h;h;d
d;d;d;d;d;0;d;0;0;0;N;0;0;0;h;0;h;h;d;d;d;d;d;N;N;d;d;N;h;d
d;d;d;d;d;d;d;d;0;0;N;0;0;0;0;0;h;h;d;d;d;0;N;N;0;0;d;N;h;d
d;d;d;d;d;0;0;d;0;0;0;0;0;0;0;0;0;0;0;d;d;0;N;N;0;d;d;N;N;d
d;d;h;h;h;h;0;d;0;0;0;0;0;0;0;0;0;0;0;d;d;0;d;d;d;d;d;N;N;h
h;d;0;h;h;d;d;d;h;0;0;0;0;0;0;0;0;0;0;N;d;0;d;d;d;d;d;N;N;h
h;d;0;0;h;0;0;h;h;0;0;0;0;0;0;0;0;0;0;N;N;0;d;d;d;h;h;0;h;h
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;0;h;h;h;h;h;0;h;h
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d;d;0;d;h;h;0;0;0;h;h
