W;W;W;W;W;W;R;R;R;R;W;W;W;T;W;W;W;W;W;W;W;W;R;T;T;T;T;T;T;T;T;T;T;T;R;R;R;R;W;W;W;W;W;W;R;R;R;R;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;W;W;W;W;T;T;T;T;W;W;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W
W;W;W;W;W;W;R;R;R;R;W;W;W;T;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;T;T;R;R;R;R;W;W;W;W;W;W;R;R;R;R;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;W;W;W;W;T;T;T;T;W;W;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W
T;T;T;T;R;R;R;R;W;W;W;W;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;T;T;R;R;R;R;T;T;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;T;T;T;T;W;W;W;W;W;W;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W
T;T;T;T;R;R;R;R;W;W;W;W;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;T;T;R;R;R;R;T;T;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;T;T;T;T;W;W;W;W;W;W;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W
T;T;T;T;R;R;R;R;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;R;R;R;R;T;T;T;T;W;W;W;W;W;W;R;R;R;R;R;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;R;R;R;R;R;R;R;R;W;W;W;W;T;T;W;W;W;W;T;T;T;T;W;W;W;W;R;R;R;R
T;T;T;T;R;R;R;R;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;R;R;R;R;T;T;T;T;W;W;W;W;W;W;R;R;R;R;R;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;R;T;R;R;R;R;R;R;W;W;W;W;T;T;W;W;W;W;T;T;T;T;W;W;W;W;R;R;R;R
T;T;T;T;R;R;R;R;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;W;W;T;T;T;T;T;T;T;T;R;R;T;T;T;T;W;W;W;W;W;W;R;R;R;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;R;R;R;R;R;R;R;R
T;T;T;T;R;R;R;R;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;T;T;T;T;T;T;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;W;W;W;W;W;W;T;T;T;T;T;T;T;T;R;R;T;T;T;T;W;W;W;W;W;W;R;R;R;R;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;W;W;W;W;W;W;W;W;W;W;T;T;T;T;T;T;T;T;T;T;R;R;R;R;W;W;W;W;W;W;W;W;W;W;T;T;T;T;R;R;R;R;R;R;R;R
R;R;R;R;R;R;R;R;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;W;W;W;W;T;T;T;T;T;T;R;R;O;O;O;O;R;R
R;R;R;R;R;R;R;R;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;O;W;W;W;W;T;T;T;T;T;T;R;R;O;0;0;O;R;R
R;R;R;R;R;R;R;R;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;O;W;W;O;O;O;O;O;O;O;O;O;O;O;0;0;O;O;O
R;R;R;R;R;R;R;R;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;O;W;W;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;R;R;W;W;W;W;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;O;T;T;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;R;R;W;W;W;W;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;O;T;T;O;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
