E;E;E;h;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;X;X;E;h;h;h;h;E;E;E;E;E;E;E;E;E;E;E
E;E;E;h;h;h;E;E;E;E;E;E;E;E;E;E;X;E;E;E;X;0;X;X;h;h;h;h;0;0;0;0;E;E;X;E;E;E;E;E
E;E;E;E;E;E;E;E;E;E;h;h;h;0;0;0;X;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;E;E;E
E;E;E;E;E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X
E;E;E;E;E;E;E;E;E;E;E;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;E;E;E;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;E;E;E;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;E;E;E;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;h;h;h;E;E;E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;h;h;h;X;X;E;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;h;h;0;0;X;X;X;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;X;0;0;0;0;X;X;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;h;h
E;E;X;X;0;0;0;0;h;h;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;h;h;h
E;E;E;X;0;0;0;0;h;h;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;E;E;E;E;E
E;E;E;X;X;0;0;h;h;h;E;E;E;X;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;E;E
E;E;E;E;X;h;h;h;h;E;E;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;E;E;E
h;h;E;E;E;E;h;h;E;E;E;E;E;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;E;E
h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;X;E;E;E
h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E
E;E;E;E;E;h;h;E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
E;E;E;E;h;h;h;h;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
E;X;E;h;h;h;h;0;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
X;X;0;0;0;0;0;0;0;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
0;0;0;0;0;0;0;0;0;E;X;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E
0;0;0;0;0;0;0;0;0;0;X;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;X;X;E;E
0;0;0;0;0;0;0;0;0;0;X;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;h;E;E;E
0;0;0;0;0;0;0;0;0;0;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;h;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;X;E;E;E;E;E
0;0;0;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;0;0;0;0;0;0;0;E;E;E;E;E;E;E
X;X;X;X;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;0;0;0;0;0;X;X;E;E;E;E;E;h
E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;h;h;h;0;0;E;E;X;E;E;E;E;E;h;h
E;E;E;E;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;X;X;X;X;E;E;E;E;E;E;h;h;h
E;E;E;E;E;h;h;h;X;X;X;0;0;0;0;0;0;0;X;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h
h;E;E;E;E;E;E;E;E;E;X;E;E;E;E;E;E;E;X;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h;h
