E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;E;E;E;E;X;X;X;E;E;E;X;X;X;X;X;X;X;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;0;0;0;0;0;0;h;E;E;E;E;E;E;E;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;X;X;0;X;X;X;X;X;0;0;0;0;0;E;E;E;E;h;h;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;0;E;E;E;E;E;E;E;X;E;E;E;E;E;E;E;h;h;E;E;E;E;E;E;h;0;0;0;0;0;0;h;h;E;X;X;X;X;h;h;h;E;E
X;X;X;X;X;X;X;E;E;X;X;X;E;E;E;E;E;E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;E;E;E;E;E;E;E;h;h;h;X;X;X;X;X;0;0;0;0;0;0;0;0;X;X;X;X;X;X;X;h;h;h;h;E;E;E;E;h;h;0;0;0;0;0;h;h;h;X;X;0;0;0;0;h;h;X;X
0;0;0;0;0;0;X;X;X;X;0;X;h;h;h;E;E;E;E;E;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;X;X;X;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;0;E;E;E;h;h;0;0;0;0;0;h;h;E;X;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;X;h;h;h;h;E;X;E;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;h;h;h;0;0;0;0;h;h;X;X;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;E;h;h;0;0;0;0;h;E;X;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;X;X;X;0;0;0;0;0;0;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E;X;E;h;0;0;0;X;X;E;X;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;X;X;0;0;0;0;0;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;X;0;0;0;X;X;X;X;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;h;h;h;E;E;X;0;0;0;0;0;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;0;0;0;X;X;X;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;h;h;E;X;X;0;0;0;0;0;0;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
