M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;W;M;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;W;W;M
M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M
M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W
W;W;W;M;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;W;W;M;M;M;M;M;M;M;M
M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;W;W;W;W;W;W;W;W;W;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M
