M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;M;M;M;M;M;M;W;W;M;M;0;0;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;M;M;M;0;0;0;0;M;M;M;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;M;M;M;M;M;M;W;W;M;M;0;0;M;M;M;M;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;M;M;M;M;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;M;M;M;M;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;M;M;M;M;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;M;M;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;W;W;M;M;M;M;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;M;M;M;M;0;0;0;0;0;M;M;M;0;0;0;M;M;M;M;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;M;M;M;0;0;0;0;0;M;M;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;M;M;0;0;0;M;M;M;0;0;M;M;M;M;M;M;M;M;M;0;0;0;M;M;0;M;M;M;M;M;0;0;0;M;M;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;M;M;M;M;M;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;M;M;0;0;0;0;M;M;0;0;M;M;M;M;M;0;M;M;M;0;0;0;M;M;0;M;M;M;M;M;M;M;0;M;M;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;0;0;M;M;M;M;M
M;M;M;M;M;M;M;M;M;0;0;0;0;M;M;M;0;M;M;M;M;M;M;0;M;M;0;0;0;0;0;0;0;M;M;0;0;0;0;M;M;0;0;M;M;M;M;M;0;M;M;0;0;0;0;M;M;0;0;0;M;M;M;M;M;M;M;M;M;0;0;0;0;0;0;M;M;M;M;M;M;M;M;0;0;M;M;M;M;M
0;0;0;M;M;0;0;M;M;0;0;0;0;M;M;0;0;M;M;M;M;0;0;0;M;M;0;0;0;0;0;0;0;M;M;0;0;0;0;M;M;0;0;0;0;M;M;M;0;M;M;0;0;0;0;M;M;0;0;0;0;0;M;M;M;M;M;M;M;0;0;0;0;0;0;M;M;M;M;M;M;M;M;0;0;M;M;M;M;M
0;0;0;M;M;0;0;M;M;0;0;0;0;M;M;0;0;M;M;M;M;0;0;0;M;M;0;0;0;0;0;0;0;M;M;0;0;0;0;M;M;0;0;0;0;M;M;M;M;M;M;0;0;0;0;M;M;0;0;0;0;0;0;0;M;M;M;M;M;0;0;0;0;0;0;0;M;M;0;0;M;M;0;0;0;0;M;M;M;M
