I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0
I;H;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;K;K;K
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0;K;0;K;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;0;K;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;K;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;K;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;K;K;K;K;K;K;K;0;0;K;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;0;K;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;K;0;K;K;K;K;K;K;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;K;0;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;K;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;K;K;K;K;K;K;K;K;K;K;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;K;0;0;K;K;K;K;0;0;K;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;K;0;0;K;0;0;K;0;0;K;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;K;0;0;K;K;K;K;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;K;0;0;K;0;0;0;0;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;K;0;0;K;0;0;0;0;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;0;K;K;K;K;K;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;0;K;0;0;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;0;0;0;0;0;0
I;I;I;I;I;I;H;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0
H;H;H;H;H;H;H;H;H;H;H;0;0;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;I;I;H;I;I;I;I;I;I;I;0;0;0;0;0;0;0;K;0;0;0;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
