0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;S
