t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0;0;0
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0
t;t;t;t;t;t;t;t;t;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0
t;t;t;t;t;t;t;t;t;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0
t;t;t;t;t;t;t;t;t;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;0;0;0
t;t;t;t;t;t;t;t;t;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;A;A;0;0
t;t;t;t;t;t;t;t;_;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;A;t;A;0;0;0
t;t;t;t;t;t;t;t;_;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;B;B;0;0;0;0;0
t;t;t;t;t;t;t;t;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;B;B;0;B;B;0;0
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;0;B;B;B;0;0
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;B;B;0;0;0
_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;A;A;A;0;0
_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;A;0;0;0;0
_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;A;A;A;0;0;0
_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;B;0;0;0
_;_;_;_;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;B;B;0;0
