^;^;^;^;^;^;^;^;^;^;^;^;_;_;_
^;^;^;^;^;^;^;^;^;^;^;^;_;_;_
^;^;^;^;^;^;^;^;^;^;^;^;_;_;_
^;^;^;^;^;^;^;^;^;^;^;_;_;_;_
^;^;^;^;^;^;^;^;^;^;^;_;_;_;_
^;^;^;^;^;^;^;^;^;^;_;_;_;_;_
^;^;^;^;^;^;^;^;_;_;_;_;_;_;_
^;^;^;^;^;_;_;_;_;_;_;_;_;_;_
^;_;_;_;_;_;_;_;_;_;_;_;_;_;_
^;_;_;_;_;_;_;_;_;_;_;_;_;_;;
_;_;_;_;_;_;_;_;_;_;_;_;_;;;;
_;_;_;_;_;_;_;_;_;_;_;_;;;;;;
_;_;_;_;_;_;_;_;_;_;_;;;;;;;;
_;_;_;_;_;_;_;_;_;_;_;;;;;;;;
_;_;_;_;_;_;_;_;_;_;_;;;;;;;;
_;_;_;_;_;_;_;_;_;_;_;;;;;;;;
_;_;_;_;_;_;_;_;_;_;_;;;;;;;;
_;_;_;_;_;_;_;_;_;_;_;_;;;;;;
_;_;_;_;_;_;_;_;_;_;_;_;;;;;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
_;_;_;_;_;_;_;_;_;_;_;_;_;_;_
t;_;_;_;_;_;t;t;t;_;_;_;_;_;_
t;t;t;t;t;t;t;t;_;_;_;_;_;_;_
t;t;t;t;t;t;t;t;t;_;_;_;_;_;_
t;t;t;t;t;t;t;t;t;t;t;_;_;_;_
t;t;t;t;t;t;t;t;t;P;P;P;_;_;_
t;t;t;t;t;t;t;t;t;P;P;P;P;_;_
t;t;t;t;t;t;t;t;P;P;P;P;P;);)
