0;0;0;0;0;0;0;q;q;q;q;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;v;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;v;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;0;0;0
0;0;0;0;0;0;0;q;q;q;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;v;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;q;0;0;0
0;0;0;0;0;0;0;q;q;q;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;v;q;q;q;q;q;v;q;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;q;0;0;0
0;0;0;0;0;0;0;v;v;v;q;q;q;q;q;q;q;q;q;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;0;0;0
0;0;0;0;0;0;0;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;0;0;0
0;0;0;0;0;0;0;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;0;0;0
0;0;0;0;0;0;0;v;v;v;q;q;q;q;q;q;q;q;q;v;v;v;v;v;v;v;v;v;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;0;0;0
0;0;0;0;0;0;0;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;q;q;q;v;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;0;0;0
0;0;0;0;0;0;0;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;q;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;q;q;q;v;q;q;q;q;q;q;q;q;q;v;q;q;q;q;q;q;0;0;0
0;0;0;0;0;0;0;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;v;0;0;0
