c;c;c;8;8;8;a;0;0;8;8;8;8;c;a;8;8;a;8;8;8;c;c;a;c;c;a;8;8;a;8;a;c;c;a;a;8;8;c;c
c;c;0;0;0;0;0;0;0;0;0;8;8;c;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;c
0;0;0;0;0;0;0;0;0;0;0;8;8;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
0;0;0;0;0;0;0;0;0;0;0;0;c;8;0;0;0;0;0;0;0;0;c;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
c;c;c;c;0;0;0;0;0;0;0;0;a;a;0;0;0;0;0;0;0;0;c;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
c;c;c;c;0;0;0;0;0;0;0;0;a;c;0;0;0;0;0;0;0;0;c;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
c;c;c;c;0;0;0;0;0;0;0;0;a;a;0;0;0;0;0;0;0;0;8;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;c
c;c;c;c;0;0;0;0;0;0;0;0;a;8;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;c
8;c;c;a;0;0;0;0;0;0;0;0;c;8;0;0;0;0;0;0;0;0;a;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;c
8;c;c;a;0;0;0;0;0;0;0;0;c;8;0;0;0;0;0;0;0;0;c;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;c
8;c;c;a;0;0;0;0;0;0;0;0;c;a;0;0;0;0;0;0;0;0;c;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
8;c;c;a;0;0;0;0;0;0;0;0;c;a;0;0;0;0;0;0;0;0;c;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;c
c;c;c;c;0;0;0;0;0;0;0;0;a;c;0;0;0;0;0;0;0;0;a;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;c
c;c;c;c;0;0;0;0;0;0;0;0;8;a;0;0;0;0;0;0;0;0;a;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;c
c;c;c;8;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
c;c;c;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c;c;c;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c;c;c;a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
c;c;c;8;0;0;0;0;0;0;0;0;c;c;0;0;0;0;0;0;0;0;a;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;c;c
c;c;c;8;0;0;0;0;0;0;0;0;a;c;0;0;0;0;0;0;0;0;8;c;0;0;0;0;0;0;0;0;0;0;0;0;0;0;a;c
c;c;c;c;0;0;0;0;8;8;0;0;c;c;0;0;0;0;0;0;0;8;8;a;0;0;0;0;0;0;0;0;8;8;8;0;0;0;8;c
c;c;c;c;c;c;c;c;c;8;8;c;c;c;c;c;c;c;c;c;c;8;8;a;8;8;c;c;c;c;c;8;8;c;c;c;c;8;8;c
