u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u
h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;h;h;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;u;u;u;u;h;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;u;u;u;u;h;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;p;p;p;p;0;0;0;0;0;0;0;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
u;u;u;u;u;h;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;p;o;o;o;o;o;o;o;o;o;o;o;o;o;o
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;h;h;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;p;o;o;o;o;o;o;o;o;o;o;o;o;o;o
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;h;h;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;h;0;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;h;0;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;h;0;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;p;p;p;p;p;p;p;p;p;p;0;0
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;p;o;o;o;o;o;o;o;o;p;0;0
u;u;u;u;u;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;p;o;o;o;o;o;o;o;o;p;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;p;o;o;p;p;p;p;o;o;p;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;h;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;p;o;o;p;0;0;p;o;o;p;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;h;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;p;o;o;p;0;0;p;o;o;p;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;0;0;0;p;o;o;p;0;0;0;0;0;0;0;0;0;0;p;o;o;p;0;0;p;o;o;p;0;0
