K;K;L;L;L;L;L;K;K;K;K;L;L;L;L;L;L;L;L;K;K;K;K;K;K;K;K;L;L;L;L;L;L;K;K;K;L;L;K;K;K;K;L;L;L;L;L;L;L;L;L;L;L;L;L;K;K;K;K;K;K;K;K;K;K;K;L;L;L;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K
K;L;K;L;L;L;K;K;K;K;K;K;K;K;K;K;K;L;L;L;K;K;K;K;K;K;K;K;K;L;L;L;L;L;L;L;K;K;K;K;K;L;L;L;L;L;L;L;K;K;L;K;K;K;K;K;K;K;K;K;K;K;K;K;L;L;K;K;L;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;L;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;K;K;K;K;K;K;K
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;L;L;K;K;K;K;K;K;L;L;L;L;L;L;K;K;K;K;K;K
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;L;L;K;K;K;K;K;L;L;K;K;K;L;K;K;K;K;K;K
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;L;K;K;K;K;K;K;L;L;L;L;L;K;K;K;K;K;K
L;L;K;K;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;K;K
L;L;K;K;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;L;L;L;L;L;L;L;L;K;K;K;K;L;L;K
L;L;K;K;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;L;K;L;K;K;K;K;K;L;L
L;L;0;0;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;L;L;L;L;L;L;L;L;L
L;L;0;0;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;L;K;K;L;K;K;K;K;K;K
L;L;L;K;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;L;K;K;L;K;K;K;K;K;K
L;L;L;L;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;L;K;K;L;K;K;K;K;K;K
L;L;K;L;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;L;L;K;K;L;K;K;K;K;K
L;L;K;L;K;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;L;L;K;L;L;K;K;K;K
K;L;L;K;L;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;L;L;K;L;L;K;K;K
