M;M;M;C;C;M;M;M;M;M;M;M;M;M;M;C;N;N;C;M;M;M;M;M;M;M;M;M;M;C;C;M;M;M;M;M;M;M;M;M;M;K;M;K;M;M;M;M;K;M;M;M;M;M;M;M;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;C;N;N;M;M;M;0;0;0;0;0;0;0;0;C;C;C;M;M;M;M;M;M;M;M;C;C;N;0;0;0;0;0;0;0;0;0;M;K;M;K;M;M;M;M;K;M;M;M;M;M;M;M;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;0;0;0;0;N;C;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;M;M;M;M;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;K;M;M;M;K;M;M;K;M;M;M;M;M;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;K;M;M;M;K;M;M;K;M;M;M;M;M;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;M;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;M;M;M;K;M;M;K;M;M;M;M;M;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;M;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;0;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;K;K;K;K;K;M;K;M;M;M;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;M;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;C;N;N;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;M;M;M;M;M;M;K;M;M;M;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;M;M;C;M;M;M
C;C;0;0;C;C;C;C;N;C;N;N;C;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;M;M;M;M;M;M;K;M;M;M;0;0;0;0;0;M;M;M;M;M;M;C;C;M;0;0;0;0;0;0;0;0;C;N;C;M
C;C;0;0;C;C;C;C;C;C;C;C;C;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;M;M;M;M;M;M;M;M;M;N;0;0;0;0;0;C;M;M;M;M;C;N;N;0;0;0;0;0;0;0;0;0;0;N;M;M
C;C;C;C;C;C;C;C;C;C;C;C;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;K;M;M;M;M;0;0;M;M;C;N;0;0;0;0;0;N;N;M;M;M;C;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;C;C;C;C;C;C;C;C;C;C;C;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;K;M;0;0;0;0;0;0;0;C;C;0;0;0;0;0;C;C;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;C;C;C;C;C;C;C;C;C;C;C;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;K;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;C;C;C;C;C;C;C;C;C;C;C;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;C;C;C;C;C;C;C;C;C;C;C;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;C;C;0;0;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0
C;C;N;N;N;C;C;C;C;K;K;K;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;C;C;0;0;0;0;0;0;0;N;K;0;0;0;C;C;C;N;N;0
C;C;N;N;N;N;C;C;C;C;C;K;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;0;0;0;0;0;0;C;N;K;N;C;C;C;C;C;C;C;C
C;C;C;0;0;C;N;N;C;C;N;K;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;C;C;C;K;C;C;C;C;C;K;C;C;C
C;C;C;0;0;0;N;N;0;0;N;K;C;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;C;C;C;K;C;C;C;C;C;K;C;C;C
N;C;0;0;0;0;0;0;0;0;0;K;C;K;K;K;K;K;K;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;C;K;C;K;C;C;C;C;C;K;K;K;C
0;0;0;0;0;0;0;0;0;0;0;K;C;K;C;C;C;K;C;C;C;C;0;0;0;0;C;C;N;N;0;0;0;0;N;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;C;K;K;K;K;K;K;K;K;K;K;C;C;C
0;0;0;0;0;0;0;0;0;0;0;K;C;K;C;C;C;K;K;K;K;K;K;K;K;C;C;C;C;C;0;0;0;0;N;C;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;C;C;C;C;K;C;K;C;C;C;C;C;K;C;C;C
0;0;0;0;0;0;0;0;0;N;N;K;C;K;C;C;C;K;C;C;C;C;K;C;C;C;C;C;C;N;0;0;0;0;C;C;C;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;N;N;N;C;N;N;N;C;C;C;K;C;K;C;C;C;C;C;K;C;C;C
