1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 1
1 0 0 < 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 < 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 < 0 0 0 S 1 1 1 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 < 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ^ ^ ^ ^ ^ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 P 0 v v v v v v v v B > 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 P 0 0
0 0 0 0 0 0 0 0 > O ^ W S 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 > > v L D > 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0
1 0 0 0 0 0 0 0 > R _ B S v 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 1 1
1 0 0 0 0 0 0 0 > C Q D Q 1 _ _ _ 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 B W ^ 0 0 F C D _ W W W W 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 D L Q 0 0 > D C C R Q L F L > 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 C v D W W Q 0 > < O _ W L 1 F S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 1 L v D _ S < ^ > S v L D F D v < 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 1 Q S B 1 O v S > W F D F _ < D ^ 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 1 1 0 0 0 1 D < ^ S _ C 0 > ^ _ _ _ W R v v W 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 1 1 0 0 0 0 _ B 0 v D C F R < D O C ^ R > > B S 1 1 1 1 > 0 0 0 0 0 0 0
1 0 0 0 1 1 _ _ _ 1 0 Q B < W v Q S B O < Q ^ 0 _ D v _ C C ^ 1 > 0 0 0 0 0 0 0
1 1 1 1 1 1 0 0 0 1 0 D 1 v 0 Q _ L C L ^ O F > R B W S Q C 0 1 > 0 0 _ _ _ 0 0
