1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 ^ ^ ^ 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 > 1 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 D Q L 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 P 0 0 S B O R Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 P 0 0
0 0 0 0 0 0 O W < _ O Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 < C O S > O 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 < W ^ F O S O > 0 0 0 0 0 0 0 0 0 0 0 0 < 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 < > 0 S C S O R F W O S 0 0 0 0 0 0 0 0 < 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 < B O W D 0 D B B C L 1 1 1 1 > 0 0 0 0 < 1 1 1 0 0 1 1 1 1 1 1 1 1
1 0 0 0 0 0 < W < < > 0 1 C R 0 B S 1 1 1 > 0 0 0 0 < 1 1 1 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 < W < 0 > 0 1 R L R v ^ 1 1 1 > 0 0 0 0 < 1 1 1 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 < F W C L R S v 1 > < 1 1 1 1 > 0 0 0 0 < 1 1 1 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 < _ Q D S L 1 L 0 0 O S 1 1 1 > 0 0 0 0 < 1 1 1 1 1 1 1 1 1 1 1 0 0
1 0 0 0 0 0 < C > L Q L 0 O R B C L _ S 1 > 0 0 0 0 < 1 1 1 1 1 1 1 1 1 1 1 0 1
1 0 ^ ^ ^ ^ O C > L C Q _ v < Q 0 F _ 1 0 0 0 0 0 0 < 1 1 1 1 1 1 1 1 0 0 0 0 1
1 0 1 1 1 1 C > S R 1 C F C > v D D v D O L L L L 0 < 1 1 1 1 0 0 0 0 0 0 0 0 1
1 1 1 1 1 1 O Q C > ^ 0 < F F < O 0 C D v > 0 ^ ^ < B _ F B W L 0 0 0 0 0 0 0 1
