K;K;K;Y;Y;Y;Y;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
Y;Y;Y;Y;Y;Y;Y;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
Y;Y;Y;Y;Y;Y;Y;K;K;K;K;K;K;K;K;K;Y;K;K;K;Y;Y;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
Y;Y;Y;Y;Y;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y
Y;Y;Y;Y;Y;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y
K;K;K;K;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;K;K
Y;Y;K;K;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
Y;Y;K;0;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
Y;Y;K;K;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
Y;Y;K;K;K;K;0;0;0;K;K;K;K;K;K;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
Y;Y;K;K;K;K;K;K;K;K;K;K;K;K;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
K;K;K;K;K;K;K;K;K;K;K;K;K;K;0;0;0;0;0;0;0;K;K;K;K;K;K;K;K;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
Y;Y;Y;Y;K;K;K;K;K;K;K;K;K;K;0;0;0;0;0;0;0;0;K;K;K;K;K;K;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
Y;Y;Y;Y;K;K;K;K;K;K;K;K;K;K;K;K;K;0;0;0;0;0;K;K;K;K;K;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
Y;Y;Y;Y;Y;Y;Y;Y;Y;K;K;K;K;K;K;K;K;0;0;0;0;K;K;K;K;K;K;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
K;Y;Y;Y;Y;Y;Y;Y;Y;K;K;K;K;K;K;K;K;K;0;0;0;K;K;K;K;K;K;K;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y
K;Y;Y;Y;Y;Y;Y;Y;Y;K;K;K;K;K;K;K;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K
K;K;K;Y;Y;Y;Y;Y;Y;K;K;K;K;K;K;0;0;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K
K;K;K;K;Y;Y;Y;Y;Y;K;K;K;K;K;K;0;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;K
K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;0;0;0;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;Y;K;K;Y;Y;Y;Y;Y;Y;Y;Y;K
Y;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;Y;K;K;K;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;K;Y;Y;Y;Y;Y;Y;Y;Y;K
Y;Y;Y;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
Y;Y;Y;K;K;K;K;K;K;K;K;K;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;K;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y;Y
