size,level,count
"(40, 23)",0-Intro,3
"(40, 23)",1-ForsakenCity,18
"(40, 23)",1H-ForsakenCity,3
"(40, 23)",2-OldSite,15
"(40, 23)",2H-OldSite,2
"(40, 23)",2X-OldSite,1
"(40, 23)",3-CelestialResort,40
"(40, 23)",3H-CelestialResort,4
"(40, 23)",3X-CelestialResort,1
"(40, 23)",4-GoldenRidge,6
"(40, 23)",5-MirrorTemple,24
"(40, 23)",5H-MirrorTemple,3
"(40, 23)",5X-MirrorTemple,1
"(40, 23)",6-Reflection,6
"(40, 23)",7-Summit,17
"(40, 23)",8-Epilogue,3
"(40, 23)",9-Core,3
"(40, 23)",9H-Core,3
"(40, 23)",9X-Core,1
"(40, 23)",LostLevels,15
"(40, 24)",1-ForsakenCity,1
"(40, 24)",3H-CelestialResort,1
"(40, 24)",4-GoldenRidge,1
"(40, 24)",6-Reflection,1
"(40, 25)",1-ForsakenCity,3
"(40, 25)",2H-OldSite,2
"(40, 25)",5-MirrorTemple,1
"(40, 25)",6-Reflection,1
"(40, 25)",7-Summit,1
"(40, 26)",7-Summit,1
"(40, 26)",LostLevels,1
"(40, 27)",1-ForsakenCity,2
"(40, 27)",5-MirrorTemple,1
"(40, 28)",1-ForsakenCity,2
"(40, 28)",7-Summit,3
"(40, 29)",1-ForsakenCity,1
"(40, 29)",5-MirrorTemple,1
"(40, 29)",7-Summit,1
"(40, 30)",7-Summit,2
"(40, 31)",2-OldSite,1
"(40, 31)",4-GoldenRidge,1
"(40, 31)",7-Summit,1
"(40, 32)",5-MirrorTemple,1
"(40, 33)",7-Summit,1
"(40, 35)",5-MirrorTemple,3
"(40, 35)",6-Reflection,1
"(40, 36)",1-ForsakenCity,3
"(40, 37)",2-OldSite,1
"(40, 37)",2H-OldSite,1
"(40, 38)",1-ForsakenCity,1
"(40, 39)",5-MirrorTemple,1
"(40, 39)",LostLevels,2
"(40, 40)",2H-OldSite,1
"(40, 40)",5H-MirrorTemple,1
"(40, 40)",7-Summit,1
"(40, 40)",9-Core,2
"(40, 42)",7-Summit,1
"(40, 43)",1-ForsakenCity,1
"(40, 43)",1H-ForsakenCity,1
"(40, 43)",2-OldSite,2
"(40, 43)",5-MirrorTemple,2
"(40, 44)",6-Reflection,1
"(40, 45)",2-OldSite,1
"(40, 45)",4-GoldenRidge,1
"(40, 46)",2-OldSite,1
"(40, 46)",3-CelestialResort,2
"(40, 46)",3H-CelestialResort,1
"(40, 46)",5H-MirrorTemple,2
"(40, 46)",7-Summit,1
"(40, 48)",6-Reflection,1
"(40, 48)",7-Summit,1
"(40, 49)",1H-ForsakenCity,1
"(40, 49)",9-Core,1
"(40, 49)",LostLevels,1
"(40, 50)",5-MirrorTemple,1
"(40, 50)",LostLevels,1
"(40, 51)",4-GoldenRidge,1
"(40, 51)",6-Reflection,1
"(40, 51)",7-Summit,1
"(40, 51)",7H-Summit,1
"(40, 52)",6-Reflection,1
"(40, 52)",6H-Reflection,1
"(40, 53)",LostLevels,1
"(40, 54)",7-Summit,1
"(40, 55)",7-Summit,2
"(40, 56)",6-Reflection,1
"(40, 56)",7H-Summit,1
"(40, 57)",2-OldSite,1
"(40, 57)",6-Reflection,1
"(40, 58)",2H-OldSite,1
"(40, 58)",9-Core,1
"(40, 59)",LostLevels,1
"(40, 60)",4-GoldenRidge,1
"(40, 61)",5-MirrorTemple,1
"(40, 61)",7-Summit,1
"(40, 62)",6-Reflection,1
"(40, 64)",3H-CelestialResort,1
"(40, 64)",4-GoldenRidge,1
"(40, 65)",5-MirrorTemple,1
"(40, 65)",6-Reflection,1
"(40, 65)",9H-Core,1
"(40, 68)",2H-OldSite,1
"(40, 69)",4X-GoldenRidge,1
"(40, 69)",7-Summit,2
"(40, 70)",9-Core,1
"(40, 71)",9-Core,2
"(40, 75)",4-GoldenRidge,1
"(40, 76)",LostLevels,1
"(40, 79)",4-GoldenRidge,1
"(40, 79)",9-Core,1
"(40, 80)",9H-Core,1
"(40, 80)",LostLevels,1
"(40, 83)",6H-Reflection,1
"(40, 84)",2-OldSite,1
"(40, 84)",9-Core,1
"(40, 85)",5-MirrorTemple,1
"(40, 85)",6-Reflection,1
"(40, 87)",9-Core,1
"(40, 90)",1H-ForsakenCity,1
"(40, 92)",7H-Summit,1
"(40, 92)",LostLevels,1
"(40, 94)",6H-Reflection,4
"(40, 95)",7-Summit,1
"(40, 96)",9H-Core,1
"(40, 98)",6H-Reflection,1
"(40, 98)",LostLevels,1
"(40, 100)",6X-Reflection,1
"(40, 104)",6-Reflection,1
"(40, 107)",6H-Reflection,3
"(40, 113)",4H-GoldenRidge,1
"(40, 118)",LostLevels,1
"(40, 120)",2-OldSite,1
"(40, 123)",LostLevels,1
"(40, 125)",6-Reflection,1
"(40, 127)",7-Summit,1
"(40, 129)",5-MirrorTemple,2
"(40, 129)",5H-MirrorTemple,2
"(40, 129)",LostLevels,1
"(40, 130)",4H-GoldenRidge,1
"(40, 130)",7-Summit,1
"(40, 134)",LostLevels,1
"(40, 142)",7H-Summit,1
"(40, 154)",7H-Summit,1
"(40, 163)",7H-Summit,1
"(40, 176)",7-Summit,1
"(40, 180)",7H-Summit,1
"(40, 186)",9-Core,1
"(40, 205)",9H-Core,1
"(40, 213)",7H-Summit,1
"(40, 229)",7H-Summit,1
"(40, 237)",7-Summit,1
"(40, 245)",LostLevels,1
"(40, 250)",6-Reflection,1
"(40, 288)",7H-Summit,1
"(40, 395)",6-Reflection,1
"(40, 578)",LostLevels,1
"(41, 23)",3H-CelestialResort,2
"(41, 23)",4-GoldenRidge,1
"(42, 23)",2-OldSite,1
"(42, 23)",2H-OldSite,1
"(42, 23)",3-CelestialResort,2
"(42, 23)",5-MirrorTemple,2
"(42, 25)",2H-OldSite,1
"(42, 35)",4-GoldenRidge,1
"(42, 45)",7-Summit,1
"(43, 23)",1H-ForsakenCity,1
"(43, 23)",3X-CelestialResort,2
"(43, 24)",1H-ForsakenCity,1
"(43, 25)",1H-ForsakenCity,1
"(43, 26)",7-Summit,1
"(43, 33)",7-Summit,1
"(43, 36)",LostLevels,1
"(44, 23)",2-OldSite,1
"(44, 23)",5-MirrorTemple,1
"(44, 42)",5-MirrorTemple,2
"(44, 60)",3-CelestialResort,1
"(45, 23)",2-OldSite,1
"(45, 23)",4-GoldenRidge,1
"(45, 33)",7-Summit,1
"(45, 42)",2-OldSite,1
"(45, 43)",2-OldSite,1
"(46, 23)",4-GoldenRidge,1
"(46, 23)",5-MirrorTemple,2
"(46, 23)",5H-MirrorTemple,1
"(46, 23)",7-Summit,2
"(46, 24)",7-Summit,1
"(46, 27)",1-ForsakenCity,1
"(46, 35)",6H-Reflection,1
"(46, 38)",4-GoldenRidge,1
"(46, 43)",4-GoldenRidge,1
"(47, 23)",1H-ForsakenCity,1
"(47, 23)",2-OldSite,1
"(47, 23)",2H-OldSite,1
"(47, 23)",5-MirrorTemple,5
"(47, 23)",7-Summit,1
"(47, 23)",9-Core,1
"(47, 24)",4-GoldenRidge,1
"(47, 37)",4-GoldenRidge,1
"(47, 63)",6H-Reflection,1
"(48, 23)",1-ForsakenCity,1
"(48, 23)",2H-OldSite,1
"(48, 23)",4-GoldenRidge,2
"(48, 23)",6-Reflection,1
"(48, 23)",7-Summit,2
"(48, 27)",6-Reflection,1
"(48, 32)",6-Reflection,1
"(48, 43)",2-OldSite,1
"(48, 60)",2-OldSite,1
"(49, 23)",1H-ForsakenCity,1
"(49, 23)",4-GoldenRidge,1
"(49, 23)",LostLevels,1
"(49, 24)",1-ForsakenCity,1
"(49, 40)",2-OldSite,1
"(50, 24)",1H-ForsakenCity,1
"(50, 25)",4-GoldenRidge,1
"(50, 28)",4-GoldenRidge,1
"(50, 34)",5-MirrorTemple,1
"(50, 48)",3-CelestialResort,1
"(51, 23)",5-MirrorTemple,1
"(51, 23)",6-Reflection,1
"(51, 23)",9-Core,1
"(51, 33)",1-ForsakenCity,1
"(51, 33)",5-MirrorTemple,1
"(51, 38)",4-GoldenRidge,1
"(51, 41)",6-Reflection,1
"(51, 67)",6H-Reflection,1
"(52, 23)",2X-OldSite,1
"(52, 23)",3-CelestialResort,1
"(52, 23)",5H-MirrorTemple,1
"(52, 23)",9-Core,1
"(52, 28)",5-MirrorTemple,1
"(52, 29)",1-ForsakenCity,1
"(52, 59)",7-Summit,1
"(53, 23)",4H-GoldenRidge,1
"(53, 23)",6-Reflection,1
"(53, 23)",7-Summit,1
"(53, 23)",9-Core,1
"(54, 23)",0-Intro,1
"(54, 23)",1H-ForsakenCity,1
"(54, 23)",2-OldSite,3
"(54, 23)",3H-CelestialResort,1
"(54, 23)",4-GoldenRidge,1
"(54, 23)",4H-GoldenRidge,1
"(54, 23)",7-Summit,1
"(54, 23)",LostLevels,1
"(54, 24)",3H-CelestialResort,1
"(54, 29)",3H-CelestialResort,1
"(54, 151)",7-Summit,1
"(55, 23)",5-MirrorTemple,1
"(55, 23)",9-Core,1
"(55, 23)",LostLevels,2
"(55, 34)",LostLevels,1
"(55, 35)",1H-ForsakenCity,1
"(55, 53)",6-Reflection,1
"(56, 23)",0-Intro,1
"(56, 23)",9-Core,1
"(56, 48)",7H-Summit,1
"(56, 94)",7-Summit,1
"(57, 23)",LostLevels,1
"(57, 28)",5-MirrorTemple,1
"(58, 23)",3-CelestialResort,1
"(58, 23)",3H-CelestialResort,1
"(58, 24)",2-OldSite,2
"(58, 24)",LostLevels,1
"(58, 25)",0-Intro,1
"(58, 40)",5-MirrorTemple,1
"(59, 23)",5-MirrorTemple,1
"(59, 23)",5H-MirrorTemple,1
"(59, 38)",4-GoldenRidge,1
"(60, 23)",2H-OldSite,1
"(60, 23)",4-GoldenRidge,1
"(60, 23)",5-MirrorTemple,1
"(60, 23)",6-Reflection,1
"(60, 23)",LostLevels,1
"(60, 26)",7-Summit,1
"(61, 23)",5X-MirrorTemple,1
"(61, 23)",6-Reflection,1
"(61, 24)",4-GoldenRidge,1
"(61, 28)",6-Reflection,1
"(61, 110)",3-CelestialResort,1
"(61, 154)",6-Reflection,1
"(62, 23)",5-MirrorTemple,1
"(62, 23)",7-Summit,1
"(62, 24)",1H-ForsakenCity,1
"(62, 78)",5-MirrorTemple,1
"(63, 23)",4H-GoldenRidge,1
"(63, 24)",4-GoldenRidge,1
"(63, 25)",4H-GoldenRidge,1
"(63, 48)",3-CelestialResort,1
"(63, 119)",7-Summit,1
"(64, 23)",5-MirrorTemple,1
"(64, 37)",5-MirrorTemple,1
"(64, 45)",4-GoldenRidge,1
"(64, 229)",6-Reflection,1
"(65, 23)",3H-CelestialResort,1
"(65, 23)",6-Reflection,1
"(65, 23)",7-Summit,2
"(65, 23)",LostLevels,1
"(65, 28)",4-GoldenRidge,1
"(65, 35)",7-Summit,1
"(65, 41)",6-Reflection,1
"(66, 23)",4-GoldenRidge,1
"(66, 23)",LostLevels,1
"(67, 23)",4H-GoldenRidge,1
"(67, 23)",7-Summit,1
"(67, 23)",9H-Core,2
"(68, 23)",4H-GoldenRidge,1
"(68, 23)",5-MirrorTemple,1
"(68, 23)",7-Summit,3
"(68, 23)",9H-Core,1
"(68, 29)",4H-GoldenRidge,1
"(68, 29)",9H-Core,1
"(69, 23)",4-GoldenRidge,1
"(69, 23)",9-Core,1
"(69, 23)",LostLevels,1
"(69, 41)",2-OldSite,1
"(70, 23)",LostLevels,1
"(70, 25)",5H-MirrorTemple,1
"(71, 23)",4-GoldenRidge,1
"(71, 23)",5-MirrorTemple,3
"(71, 45)",7-Summit,1
"(72, 23)",3H-CelestialResort,1
"(72, 23)",5H-MirrorTemple,1
"(72, 23)",7-Summit,1
"(72, 23)",9-Core,1
"(73, 23)",5-MirrorTemple,1
"(73, 23)",6-Reflection,1
"(73, 23)",6H-Reflection,2
"(73, 24)",2H-OldSite,1
"(73, 28)",7-Summit,1
"(74, 23)",2-OldSite,2
"(74, 23)",3H-CelestialResort,1
"(74, 23)",4-GoldenRidge,1
"(74, 23)",7-Summit,1
"(74, 23)",LostLevels,2
"(74, 29)",7-Summit,1
"(74, 230)",7-Summit,1
"(75, 23)",LostLevels,1
"(75, 25)",4H-GoldenRidge,1
"(76, 23)",3-CelestialResort,1
"(76, 23)",6-Reflection,3
"(76, 23)",7-Summit,1
"(76, 23)",9-Core,1
"(76, 23)",LostLevels,1
"(76, 24)",9-Core,1
"(77, 23)",6-Reflection,1
"(77, 23)",7H-Summit,1
"(77, 23)",9-Core,1
"(77, 23)",LostLevels,1
"(77, 26)",7H-Summit,1
"(77, 27)",LostLevels,1
"(77, 34)",2H-OldSite,1
"(78, 23)",3H-CelestialResort,1
"(78, 23)",4H-GoldenRidge,1
"(78, 23)",6X-Reflection,1
"(78, 23)",7H-Summit,1
"(78, 23)",LostLevels,1
"(78, 29)",6-Reflection,1
"(78, 33)",6-Reflection,1
"(78, 48)",LostLevels,1
"(78, 54)",LostLevels,1
"(79, 23)",5H-MirrorTemple,1
"(79, 23)",6-Reflection,1
