;level;room;width;height;size;unique_comb_width;unique_comb_height;unique_comb_coords;filepath
0;8-Epilogue;lvl_outside;40;23;(40, 23);84;136;169;../levels/8-Epilogue/lvl_outside_fg.csv
1;8-Epilogue;lvl_inside;40;23;(40, 23);84;136;169;../levels/8-Epilogue/lvl_inside_fg.csv
2;8-Epilogue;lvl_bridge;126;23;(126, 23);1;136;3;../levels/8-Epilogue/lvl_bridge_fg.csv
3;8-Epilogue;lvl_secret;40;23;(40, 23);84;136;169;../levels/8-Epilogue/lvl_secret_fg.csv
4;7H-Summit;lvl_f-01;114;23;(114, 23);2;136;4;../levels/7H-Summit/lvl_f-01_fg.csv
5;7H-Summit;lvl_d-00;127;23;(127, 23);1;136;1;../levels/7H-Summit/lvl_d-00_fg.csv
6;7H-Summit;lvl_d-03;40;154;(40, 154);84;2;1;../levels/7H-Summit/lvl_d-03_fg.csv
7;7H-Summit;lvl_b-03;40;180;(40, 180);84;1;1;../levels/7H-Summit/lvl_b-03_fg.csv
8;7H-Summit;lvl_e-00;98;23;(98, 23);4;136;2;../levels/7H-Summit/lvl_e-00_fg.csv
9;7H-Summit;lvl_a-02;118;23;(118, 23);1;136;3;../levels/7H-Summit/lvl_a-02_fg.csv
10;7H-Summit;lvl_g-02;293;337;(293, 337);1;1;1;../levels/7H-Summit/lvl_g-02_fg.csv
11;7H-Summit;lvl_a-03;40;163;(40, 163);84;1;1;../levels/7H-Summit/lvl_a-03_fg.csv
12;7H-Summit;lvl_c-02;86;23;(86, 23);2;136;6;../levels/7H-Summit/lvl_c-02_fg.csv
13;7H-Summit;lvl_c-03;40;229;(40, 229);84;2;1;../levels/7H-Summit/lvl_c-03_fg.csv
14;7H-Summit;lvl_b-00;40;56;(40, 56);84;1;2;../levels/7H-Summit/lvl_b-00_fg.csv
15;7H-Summit;lvl_f-03;40;213;(40, 213);84;1;1;../levels/7H-Summit/lvl_f-03_fg.csv
16;7H-Summit;lvl_b-02;191;23;(191, 23);1;136;3;../levels/7H-Summit/lvl_b-02_fg.csv
17;7H-Summit;lvl_a-01;56;48;(56, 48);3;5;1;../levels/7H-Summit/lvl_a-01_fg.csv
18;7H-Summit;lvl_f-02;77;26;(77, 26);4;7;1;../levels/7H-Summit/lvl_f-02_fg.csv
19;7H-Summit;lvl_c-00;84;23;(84, 23);1;136;3;../levels/7H-Summit/lvl_c-00_fg.csv
20;7H-Summit;lvl_a-00;88;23;(88, 23);2;136;3;../levels/7H-Summit/lvl_a-00_fg.csv
21;7H-Summit;lvl_e-03;40;142;(40, 142);84;1;1;../levels/7H-Summit/lvl_e-03_fg.csv
22;7H-Summit;lvl_e-02;96;23;(96, 23);2;136;3;../levels/7H-Summit/lvl_e-02_fg.csv
23;7H-Summit;lvl_e-01;121;23;(121, 23);2;136;1;../levels/7H-Summit/lvl_e-01_fg.csv
24;7H-Summit;lvl_g-00;40;288;(40, 288);84;1;1;../levels/7H-Summit/lvl_g-00_fg.csv
25;7H-Summit;lvl_c-01;204;23;(204, 23);1;136;1;../levels/7H-Summit/lvl_c-01_fg.csv
26;7H-Summit;lvl_b-01;40;92;(40, 92);84;1;2;../levels/7H-Summit/lvl_b-01_fg.csv
27;7H-Summit;lvl_g-03;133;107;(133, 107);2;2;1;../levels/7H-Summit/lvl_g-03_fg.csv
28;7H-Summit;lvl_g-01;224;151;(224, 151);1;3;1;../levels/7H-Summit/lvl_g-01_fg.csv
29;7H-Summit;lvl_d-01;77;23;(77, 23);4;136;4;../levels/7H-Summit/lvl_d-01_fg.csv
30;7H-Summit;lvl_a-00-intro;40;51;(40, 51);84;2;4;../levels/7H-Summit/lvl_a-00-intro_fg.csv
31;7H-Summit;lvl_f-00;86;23;(86, 23);2;136;6;../levels/7H-Summit/lvl_f-00_fg.csv
32;7H-Summit;lvl_d-02;78;23;(78, 23);5;136;5;../levels/7H-Summit/lvl_d-02_fg.csv
33;9-Core;lvl_d-10;103;23;(103, 23);3;136;1;../levels/9-Core/lvl_d-10_fg.csv
34;9-Core;lvl_d-00;40;40;(40, 40);84;7;5;../levels/9-Core/lvl_d-00_fg.csv
35;9-Core;lvl_d-03;40;70;(40, 70);84;1;1;../levels/9-Core/lvl_d-03_fg.csv
36;9-Core;lvl_b-03;56;23;(56, 23);3;136;2;../levels/9-Core/lvl_b-03_fg.csv
37;9-Core;lvl_01;94;47;(94, 47);3;2;1;../levels/9-Core/lvl_01_fg.csv
38;9-Core;lvl_a-02;55;23;(55, 23);4;136;4;../levels/9-Core/lvl_a-02_fg.csv
39;9-Core;lvl_a-03;40;49;(40, 49);84;1;3;../levels/9-Core/lvl_a-03_fg.csv
40;9-Core;lvl_c-02;120;23;(120, 23);1;136;5;../levels/9-Core/lvl_c-02_fg.csv
41;9-Core;lvl_d-05;40;71;(40, 71);84;1;2;../levels/9-Core/lvl_d-05_fg.csv
42;9-Core;lvl_c-03;117;23;(117, 23);1;136;1;../levels/9-Core/lvl_c-03_fg.csv
43;9-Core;lvl_c-00b;52;23;(52, 23);4;136;4;../levels/9-Core/lvl_c-00b_fg.csv
44;9-Core;lvl_d-10c;244;23;(244, 23);1;136;1;../levels/9-Core/lvl_d-10c_fg.csv
45;9-Core;lvl_b-00;40;23;(40, 23);84;136;169;../levels/9-Core/lvl_b-00_fg.csv
46;9-Core;lvl_b-02;72;23;(72, 23);1;136;4;../levels/9-Core/lvl_b-02_fg.csv
47;9-Core;lvl_b-07b;40;84;(40, 84);84;1;2;../levels/9-Core/lvl_b-07b_fg.csv
48;9-Core;lvl_a-01;51;23;(51, 23);5;136;3;../levels/9-Core/lvl_a-01_fg.csv
49;9-Core;lvl_c-00;115;23;(115, 23);2;136;2;../levels/9-Core/lvl_c-00_fg.csv
50;9-Core;lvl_a-00;76;24;(76, 24);2;18;1;../levels/9-Core/lvl_a-00_fg.csv
51;9-Core;lvl_c-04;77;23;(77, 23);4;136;4;../levels/9-Core/lvl_c-04_fg.csv
52;9-Core;lvl_c-03b;115;23;(115, 23);2;136;2;../levels/9-Core/lvl_c-03b_fg.csv
53;9-Core;lvl_d-04;40;71;(40, 71);84;1;2;../levels/9-Core/lvl_d-04_fg.csv
54;9-Core;lvl_0x;40;23;(40, 23);84;136;169;../levels/9-Core/lvl_0x_fg.csv
55;9-Core;lvl_b-05;108;23;(108, 23);1;136;1;../levels/9-Core/lvl_b-05_fg.csv
56;9-Core;lvl_b-06;47;23;(47, 23);4;136;10;../levels/9-Core/lvl_b-06_fg.csv
57;9-Core;lvl_b-07;40;40;(40, 40);84;7;5;../levels/9-Core/lvl_b-07_fg.csv
58;9-Core;lvl_02;69;23;(69, 23);2;136;3;../levels/9-Core/lvl_02_fg.csv
59;9-Core;lvl_d-07;40;186;(40, 186);84;1;1;../levels/9-Core/lvl_d-07_fg.csv
60;9-Core;lvl_c-01;83;23;(83, 23);1;136;6;../levels/9-Core/lvl_c-01_fg.csv
61;9-Core;lvl_b-01;53;23;(53, 23);1;136;4;../levels/9-Core/lvl_b-01_fg.csv
62;9-Core;lvl_d-01;40;87;(40, 87);84;1;1;../levels/9-Core/lvl_d-01_fg.csv
63;9-Core;lvl_d-08;185;23;(185, 23);1;136;1;../levels/9-Core/lvl_d-08_fg.csv
64;9-Core;lvl_00;40;23;(40, 23);84;136;169;../levels/9-Core/lvl_00_fg.csv
65;9-Core;lvl_d-10b;112;23;(112, 23);1;136;2;../levels/9-Core/lvl_d-10b_fg.csv
66;9-Core;lvl_d-09;76;23;(76, 23);2;136;7;../levels/9-Core/lvl_d-09_fg.csv
67;9-Core;lvl_b-04;105;23;(105, 23);1;136;2;../levels/9-Core/lvl_b-04_fg.csv
68;9-Core;lvl_d-02;40;79;(40, 79);84;3;2;../levels/9-Core/lvl_d-02_fg.csv
69;9-Core;lvl_space;287;40;(287, 40);2;7;1;../levels/9-Core/lvl_space_fg.csv
70;9-Core;lvl_d-06;40;58;(40, 58);84;1;2;../levels/9-Core/lvl_d-06_fg.csv
71;9-Core;lvl_d-11;165;23;(165, 23);1;136;1;../levels/9-Core/lvl_d-11_fg.csv
72;4X-GoldenRidge;lvl_01;40;69;(40, 69);84;3;3;../levels/4X-GoldenRidge/lvl_01_fg.csv
73;4X-GoldenRidge;lvl_02;321;23;(321, 23);1;136;1;../levels/4X-GoldenRidge/lvl_02_fg.csv
74;4X-GoldenRidge;lvl_00;87;23;(87, 23);2;136;2;../levels/4X-GoldenRidge/lvl_00_fg.csv
75;2-OldSite;lvl_12c;40;45;(40, 45);84;6;2;../levels/2-OldSite/lvl_12c_fg.csv
76;2-OldSite;lvl_d7;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_d7_fg.csv
77;2-OldSite;lvl_end_0;40;43;(40, 43);84;4;6;../levels/2-OldSite/lvl_end_0_fg.csv
78;2-OldSite;lvl_end_s1;85;23;(85, 23);2;136;2;../levels/2-OldSite/lvl_end_s1_fg.csv
79;2-OldSite;lvl_end_2;40;43;(40, 43);84;4;6;../levels/2-OldSite/lvl_end_2_fg.csv
80;2-OldSite;lvl_5;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_5_fg.csv
81;2-OldSite;lvl_13;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_13_fg.csv
82;2-OldSite;lvl_12;58;24;(58, 24);4;18;3;../levels/2-OldSite/lvl_12_fg.csv
83;2-OldSite;lvl_2;48;60;(48, 60);5;3;1;../levels/2-OldSite/lvl_2_fg.csv
84;2-OldSite;lvl_d5;44;23;(44, 23);3;136;2;../levels/2-OldSite/lvl_d5_fg.csv
85;2-OldSite;lvl_end_s0;85;45;(85, 45);2;6;1;../levels/2-OldSite/lvl_end_s0_fg.csv
86;2-OldSite;lvl_3x;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_3x_fg.csv
87;2-OldSite;lvl_d9;54;23;(54, 23);4;136;10;../levels/2-OldSite/lvl_d9_fg.csv
88;2-OldSite;lvl_end_4;54;23;(54, 23);4;136;10;../levels/2-OldSite/lvl_end_4_fg.csv
89;2-OldSite;lvl_3;45;23;(45, 23);4;136;2;../levels/2-OldSite/lvl_3_fg.csv
90;2-OldSite;lvl_4;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_4_fg.csv
91;2-OldSite;lvl_end_3c;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_end_3c_fg.csv
92;2-OldSite;lvl_12b;74;23;(74, 23);3;136;7;../levels/2-OldSite/lvl_12b_fg.csv
93;2-OldSite;lvl_d8;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_d8_fg.csv
94;2-OldSite;lvl_s1;40;23;(40, 23);84;136;169;../levels/2-OldSite/lvl_s1_fg.csv
