0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;N;N;N;0;0;0;0;N;N;N;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;N;N;0;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;0;0;0;0;0;0;0;N;N;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;0;0;0;0;N;N;N;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;0;0;0;0;N;N;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;N;N;0;0;0;0;0;0;N;N;N;N;N;0;0;N;N;N;N;N;N;N;N;N;0;0;N;N;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;N;0;0;0;0;N;N;N;N;N;N;N;N;N;N;0;0;0;N;N;N;N;N;N;N;0;0;0;N;N;0;N;N;N;N;N;0;0;0;N;N;N;0;0;0;0;0;0;0;N;N;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;0;N;N;N;N;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;0
0;0;N;N;N;N;N;N;N;0;0;0;0;N;N;N;N;N;0;0;0;0;N;N;N;N;N;0;0;0;N;N;0;N;N;N;N;N;N;N;N;N;0;N;N;N;N;0;0;0;N;N;N;N;0;0;N;N;N;0;0;0;0;0;0;0;N;N;0;N;N;N;N;N;0;0;0;0;0;0;0;N;N;N;0;0;0;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0
0;0;N;N;N;N;N;N;N;0;0;0;0;N;N;N;N;N;0;0;0;0;N;N;N;N;N;0;N;N;N;N;N;N;N;N;0;0;0;N;N;N;0;N;N;N;N;N;N;N;N;N;N;N;0;0;N;N;N;0;0;0;0;0;0;0;N;0;0;N;N;N;0;0;0;0;0;0;0;0;0;N;N;0;0;0;0;N;N;N;N;N;N;N;N;N;0;N;N;N;N;N;N;N;0
0;0;N;N;N;N;N;N;N;0;0;0;0;N;N;N;N;N;N;N;0;0;N;N;N;N;N;0;N;N;N;N;N;N;N;0;0;0;N;N;N;N;N;N;N;0;N;N;N;N;N;N;N;N;N;0;N;N;N;N;0;0;0;0;0;0;0;0;0;0;N;N;0;0;0;0;0;0;0;0;0;0;N;0;0;0;0;N;N;N;N;N;N;N;N;0;0;N;N;N;N;N;N;N;0
N;N;N;N;N;N;N;N;N;0;N;N;0;N;N;N;N;N;N;N;N;0;N;N;N;N;N;0;N;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;0;0;N;N;N;N;N;N;N;N;0;N;N;N;N;0;0;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;N;N;N;0;0;N;N;N;N;N;N;N;N;N;N;0;0
N;N;N;N;N;N;N;N;N;0;N;N;N;0;0;0;0;N;N;N;N;N;N;0;0;0;0;0;N;N;N;N;N;0;0;0;0;0;0;0;0;N;N;N;N;0;0;N;N;N;N;0;N;N;0;0;0;N;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;0;0;0;0;N;N;N;N;N;N;N;N;N;N;0;0
N;N;N;N;N;N;N;N;N;0;N;N;N;N;0;0;N;N;N;N;N;N;N;0;0;N;N;0;0;0;N;N;0;0;0;0;0;0;0;0;0;0;N;N;N;0;0;N;0;N;N;N;N;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N;0;0;N;N;N;N;N;N;N;0;0
