g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g
g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;0;0;0;0;g;g;g;0;0;0;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g
g;g;g;g;g;0;0;0;0;0;0;0;0;0;g;0;0;0;0;g;g;g;0;0;0;g;0;0;0;0;0;g;g;g;g;g;g;g;g;g
g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;0;0;0;0;0;0;0;0;0;0;0;g;0;g;g;g;g;g;g;g
g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g;g
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g;g
h;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
h;h;h;h;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
h;h;h;h;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
g;g;g;g;g;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
g;g;g;g;g;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
g;g;g;g;g;h;h;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
g;g;g;g;g;h;h;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
g;g;g;g;g;g;g;g;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g;g
g;g;g;g;g;g;g;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g
g;g;g;g;g;g;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g
g;g;g;g;g;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g
g;g;g;g;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g
g;g;g;g;g;g;g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;g;g;g;g
