0;R;R;R;R;R;R;R;R;R;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M
R;R;R;R;R;R;R;R;R;R;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M
R;R;R;R;R;R;R;R;R;R;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M
R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;þ;Ð;þ;Ð;þ;Ð;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M
R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;0;0;þ;Ð;þ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;M;M;M;0;0;0;M;M;M;M;M;M;M;M;M
R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;0;0;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;þ;Ð;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
