R;R;R;U;U;U;U;U;R;R;R;0;0;0;0;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;R;R;R;R;R;0;0;0;0;U;U;U;U;U;U;U;0;R;R;R;R;U;0;U;U;U;U;U;U;U;0;0;0;0;0;0;U;U;U;0;0;0;0;U;U;U;U;U;U;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;0;0;U;U;U;U;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0
R;R;R;U;U;U;U;U;R;R;R;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;R;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;R;R;R;R;R;0;0;0;0;U;U;U;U;U;U;U;U;R;R;R;R;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;U;U;U;0;0;0;0;U;U;U;U;U;U;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;0;0;0;0;U;U;U;U;0;0;0;0;0;U;U;U;U;U;U;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;U;U;U;U;U;U;U;U;U;U;U;0;U;U;U;U;0;0;0;0;0
R;R;R;U;U;U;U;U;R;R;R;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;R;U;U;U;U;U;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;R;R;R;R;R;0;0;0;0;0;0;U;U;U;U;U;U;U;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;U;U;U;U;0;0;0;0;0;0;0;U;U;U;U;U;U;0;0;U;U;U;U;U;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0
R;R;R;U;U;U;U;U;R;R;R;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;R;U;U;U;U;0;0;0;0;0;U;U;U;U;U;U;U;0;0;0;0;R;R;R;R;R;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;U;U;U;U;0;0;0;0;0;0;0;0;U;U;U;U;U;U;0;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;U;U;U;U;U;U;U;U;0;U;U;U;U;U;0;0;0;0;0;0
R;R;R;U;U;U;U;U;R;R;R;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;R;U;U;U;U;0;0;0;0;0;0;U;U;U;U;U;0;0;0;0;0;R;R;R;R;R;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;0;0;U;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;U;U;U;U;0;U;U;U;0;0;0;0;0;0;0;0;0;0;U;U;U;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;0;0;0;0;0;U;U;U;U;U;U;U;0;0;0;U;U;U;0;R;R;R;R;R;R
0;0;0;U;U;U;U;U;U;U;0;0;0;0;0;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;R;U;U;U;0;0;0;0;0;0;0;0;U;U;U;U;0;0;0;0;0;R;R;R;R;R;0;0;0;0;0;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;0;0;0;0;0;0;U;U;U;0;0;0;U;U;U;0;0;0;0;0;0;0;0;0;U;U;U;U;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;0;0;0;0;0;0;0;U;U;U;U;U;0;0;0;0;U;U;0;0;R;R;R;R;R;R
R;R;R;R;R;R;U;U;R;R;R;U;U;U;U;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;U;U;U;U;0;0;0;0;0;0;0;0;U;U;U;U;0;0;0;0;0;R;R;R;R;R;0;0;0;0;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;0;0;0;0;0;0;U;U;U;0;0;0;U;U;U;U;0;0;0;0;0;0;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;0;0;0;0;0;0;0;U;U;U;U;U;U;0;0;0;U;U;0;0;R;R;R;R;R;R
R;R;R;R;R;R;0;U;R;R;R;U;U;U;U;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;U;U;U;U;0;0;0;0;0;0;0;0;0;U;U;U;0;0;0;0;0;0;0;0;U;U;0;0;0;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;0;0;0;0;U;U;U;U;0;0;0;0;U;U;U;U;0;0;0;0;0;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;0;0;0;0;0;0;0;U;U;U;U;U;U;0;0;0;U;U;0;0;R;R;R;R;R;R
R;R;R;R;R;R;0;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;0;0;0;0;0;0;0;R;R;R;R;R;U;U;U;0;0;0;0;0;0;0;0;0;0;U;U;U;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;0;0;U;U;U;U;U;U;0;0;0;0;0;U;U;0;0;0;0;0;0;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;0;0;0;U;U;U;U;U;U;U;U;U;U;0;0;U;U;U;0;0;R;R;R;R;R;R
R;R;R;R;R;R;0;0;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;U;U;0;0;0;0;0;0;0;0;0;0;0;U;U;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;U;U;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;U;U;U;U;U;U;U;U;0;0;0;0;0;0;U;U;U;U;U;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;U;U;0;0;U;U;U;U;U;U;U;U;U;U;U;U;U;U;U;0;0;0;R;R;R;R;R;R
