0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;h;h;0;0;I;I;I;I;h;h;h
0;0;0;0;0;0;0;0;0;0;0;0;0;I;I;I;I;I;I;I;h;h;h;h;h;h;h;I;I;I;h;h;h;h;h
0;0;0;0;0;0;0;0;0;0;h;h;I;I;I;I;I;I;I;I;I;h;h;h;h;h;h;h;h;h;h;h;h;h;h
0;0;0;0;0;h;h;h;h;h;h;h;I;I;I;I;I;I;I;I;I;h;h;h;h;h;h;h;h;h;h;h;h;h;I
I;I;I;I;I;h;h;h;h;h;h;h;I;I;I;I;I;I;I;I;I;I;I;h;h;h;h;h;h;h;h;h;I;I;I
h;I;I;I;h;h;h;h;h;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;h;h;I;I;I;I;I;I;I;I
h;I;I;I;h;h;h;h;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
h;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;h
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;h
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;h
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;I;I;h;h;h;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;h;h;h;h;h;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;h;h;h;h;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
I;I;I;h;h;h;h;I;I;I;I;I;I;I;I;h;h;h;h;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;h
I;I;I;I;I;I;I;I;I;I;I;I;h;h;h;h;h;h;h;h;I;I;I;I;I;I;I;I;I;I;I;I;I;h;h
