1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 ^ ^ ^ ^ ^ 1 1 0 0 0 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 1 1 1 1 1 0 0 0 D 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 < 1 1 1 1 1 1 0 0 0 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 1 1 1 1 1 1 0 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 P 0 1 1 1 1 1 1 1 1 1 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 P 0 0
0 0 0 0 1 1 1 1 1 1 1 1 1 D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 1 1 1 1 1 1 D ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 1 1 1 1 1 1 D 1 > 0 0 0 > W C ^ v S S W 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 1 1 1 1 1 1 D 1 > 0 0 0 > 1 F D D < W B S B 0 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 1 1 1 1 1 1 D 1 > 0 0 0 > O ^ v v > D 0 > F _ 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 _ 0 1 1 1 1 1 1 D 1 > 0 0 0 > < v O Q S W D S W B F S W v v v v v v v
1 0 0 0 0 0 1 1 1 1 1 1 1 D 1 > 0 0 0 > ^ 1 W S O O _ _ R L _ _ F _ S v W > D C
1 0 0 0 0 0 0 0 0 0 1 1 1 D 1 > 0 0 0 > D 1 O W _ F ^ > Q v R S W L S Q > 0 v R
1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 > 0 0 0 0 F B _ _ D 0 ^ v R O C R B O F < W W > >
1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 > 0 0 0 0 > ^ _ < < 0 1 > B F D L B Q R Q < B F C
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 > 0 0 0 0 > _ v 1 > D D > < _ 0 D > 1 C D < _ W Q
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ^ ^ ^ S ^ ^ C 1 L R ^ ^ 1 0 D > Q > C S v D B
1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 > 0 C S S D L ^ O _ _ 1 D > Q W S W > > R
