1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 ^ ^ ^ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 ^ ^ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 > > 0 0 0 > D D D D D D D 0 0 0 0
0 0 P 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 _ 0 0 0 > D D D D D D D 0 P 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 B D D D D D D 0 0 0 0
1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 F 0 0 0 0 0 0 0 0 0 0
1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 B B W 1 1 1 1 1 1 1
1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 C W L 0 0 0 1 1 1 1
1 0 0 0 1 1 1 ^ ^ ^ ^ ^ ^ ^ 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 O ^ B F O _ 1 1 1
1 0 0 0 0 0 0 C R C F Q R > 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 F R Q _ 1 S _ 1 1
1 0 0 0 0 0 0 0 R > C Q C C C C C C C C C C C C C 1 1 1 1 1 0 S > O S C _ Q > 0
1 0 0 0 0 0 0 0 0 Q ^ Q v > C Q O B L 0 0 0 0 0 0 1 1 1 1 1 ^ C Q F D _ 1 W R C
1 0 0 0 0 0 0 0 0 v Q F F ^ > D O B 0 B O W C 0 0 1 1 1 1 1 1 L ^ 1 F R S > < D
1 0 0 0 0 0 0 0 0 0 ^ Q R < Q D v v 1 v < C 0 0 0 0 0 0 0 0 0 F D D v R 0 _ _ L
1 0 0 0 0 0 0 0 0 0 1 C S 1 F S B < W S O ^ S R 0 0 0 0 0 0 0 L D D 1 < > B > >
1 0 0 0 0 0 0 0 0 0 1 0 > R L ^ v R F 1 S ^ < < _ _ _ _ 1 1 1 W 0 0 1 W R 0 R 0
1 1 1 0 0 0 0 0 0 0 1 0 > Q _ B _ > W Q 0 ^ W ^ W Q Q O 0 0 0 > > 0 1 C v ^ 0 0
