1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 S 1 1 1 1 0
0 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 1 0
0 0 0 0 0 D D D D D D D D D D D D ^ ^ 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0
0 0 P 0 0 D D D D D D D D D D D D 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 P 0 0
0 0 0 0 0 D D D D D D D D D D D D 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 D D D D D D D D D D D D 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 ^ ^ S
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 S 0 0 F
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 L
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 L
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 L
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 D D D D D D D D D D D D 0 0 0 0 0 0 0 0 0 0 0 0 0 S 1 1 1 1 1 1 1 S 1
