1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
0 0 P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 1 1 0 P 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 S 0 0
1 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 ^ ^ ^ S 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 S 0 0 0 0
1 0 0 0 0 0 0 W W W W W W W W W W W W W W W 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0
1 0 0 0 0 0 0 O L O B ^ D L F ^ W W W W W W 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
1 0 0 0 0 0 0 R C W v C ^ ^ L D < R > C L L ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ 0 0 0
1 0 0 S 0 0 0 ^ S D < 1 < < S D v L _ < L ^ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
1 0 0 0 0 0 0 0 < W L O v L Q < v S D W 0 S F _ _ _ _ _ 1 1 1 1 1 1 1 1 1 0 0 0
1 0 0 0 0 0 0 0 < O D B S 0 v F 1 v 1 v D C 0 C < L B 0 1 1 1 1 1 1 1 1 1 0 0 0
1 0 0 0 0 0 0 0 0 ^ D W < F O ^ S B R 1 Q < R R _ B Q 0 1 1 1 1 1 1 1 1 1 0 0 0
1 0 0 S 0 0 0 0 0 1 D v C S C ^ < 0 S D v L S B v W ^ 0 0 1 1 1 1 1 1 1 1 0 0 0
1 1 1 1 1 1 1 0 0 1 D S Q C ^ R W F 1 S S > R B < L Q v > _ _ 1 1 1 1 1 1 0 0 0
