R;R;R;R;R;R;R;R;R;R;R;R;P;R;R;R;R;R;R;0;0;0;0;0;0;R;R;R;R;R;P;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;P;R;R;R;R;R;R;R;R;R;0;0;R;R;R;R;R;R;P;0;0;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;0;0;0;R;R;R;0;0;R;R;P;R;R;0;0;R;R;R;R;R;R;R;R;R;0;0;R;R;P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;0;0;0;R;R;R;0;0;R;R;P;R;R;0;0;R;R;R;R;R;R;R;R;R;0;0;R;R;P;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;P;R;R;R;R;R;R;R;R;0;0;0;R;R;R;R;R;R;P;R;0;0;0;0;0;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;P;R;R;R;R;R;R;R;R;0;0;0;0;R;R;R;R;R;P;R;R;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;R;P;R;R;R;R;R;R;R;R;0;0;R;R;R;R;R;R;P;P;P;P;P;P;P;P;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;P;R;R;R;R;R;R;R;0;0;0;0;0;R;R;R;R;R;P;R;0;0;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;0;0;0;0;0;0;0
R;R;R;R;R;R;R;R;R;R;R;R;P;R;R;R;R;R;R;R;0;0;0;0;R;R;R;R;R;R;P;R;0;0;R;R;R;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;0;0;0;0;0;0;0
R;R;0;0;0;R;R;R;0;0;R;R;P;R;R;0;0;R;R;0;0;0;0;0;R;R;0;0;R;R;P;R;0;0;0;0;0;R;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;0;R;R;P;0;0;0;0;0;0;0
