1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 R 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 Q 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 S F Q 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 > D O 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0
0 0 0 0 0 0 > W C L L F ^ ^ ^ ^ 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 C F 0 R _ < O ^ C C D 1 1 1 1 1 ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ ^ 0 0 0
0 0 0 0 0 0 v W _ v C B D O Q W ^ ^ ^ ^ ^ L B C > 0 > R ^ R Q v Q L B C v C C 0
0 0 0 0 0 0 0 1 O Q R S F W 1 v F C ^ 0 0 > Q v 0 0 > O < C > B > < > ^ W Q > 0
0 0 0 0 0 0 0 1 B Q 0 O O ^ S ^ S 1 0 0 0 > R F S 0 > Q O D O v L v < W _ < S 0
0 0 0 0 0 0 0 1 L L ^ > 1 S D 0 1 1 1 1 0 0 R 0 < F B L W O S W S 1 ^ R C D C 1
0 0 0 0 0 0 0 1 L L _ S R _ v L < 1 S 0 0 0 0 0 < 1 W F Q _ D D Q O > 1 0 L F 1
0 0 0 S 0 0 0 0 R < S L D 0 F > 0 0 0 0 0 0 0 0 0 0 < L v D 1 1 < O _ D D 0 C 1
0 0 0 0 0 0 0 0 0 1 O 0 v 1 L B B R 0 0 0 0 0 0 0 0 < C B > C 1 ^ C S R ^ _ B 1
1 0 0 0 0 0 S 0 0 0 O B F C v < C C 1 1 0 0 0 0 0 0 < _ S 1 C Q W _ C > _ W L 1
1 0 0 0 0 0 0 0 0 0 0 D > O 1 0 0 0 1 1 0 0 0 0 0 0 < R D v 1 < L W C > < R D 1
1 0 0 0 0 0 0 0 0 0 0 0 < _ ^ 0 0 0 1 1 S 0 0 0 0 0 < F _ Q 0 > C < v D D 0 W 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
