b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;b;l;l;l;l;0;0;0;0;l;l;l;l;l;b;b;b;b;b;b;b;b;b;b
b;l;l;l;l;b;b;b;b;b;b;b;b;b;b;b;b;l;l;l;l;0;0;0;0;l;l;l;l;l;b;b;b;b;b;b;b;b;b;b
b;l;l;l;l;b;b;0;0;0;0;0;b;b;b;0;0;0;0;0;0;0;0;0;0;l;l;0;0;0;b;b;b;b;b;b;b;b;b;b
b;l;l;0;0;0;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;0;0;0;0;0;0;0;b;b;b;b;b;b;b
b;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;0;0;0;0;0;0;0;0;b;b;b;b;b;b
b;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l;l;0;0;0;0;0;0;0;0;0;0;0;b;b;b
b;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;f;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;b;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;f;0;0;0;0;0;0;0;0;0;l;l;l
b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;l;l;l;l
b;b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;l;l;f;f
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;l;l;f;f
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l;f;f
0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;f
0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;f
l;l;l;0;0;0;0;0;0;0;0;0;0;f;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;f
l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f;f;f;f
b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f
b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f
b;b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f
b;b;b;b;b;0;0;0;0;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f
b;b;b;b;b;b;0;0;0;l;l;l;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f
b;b;b;b;b;b;0;0;0;f;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;f
b;b;b;b;b;b;0;0;0;f;f;f;f;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;l;l;l;l;f
