1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ^ ^ ^ ^ ^ ^ 0 0 0 0 0 0 0 0 0 0 0 1
1 0 0 1 1 1 1 1 ^ ^ 0 0 0 0 0 0 S 0 0 0 S 0 0 0 > 1 1 1 ^ ^ ^ ^ ^ ^ 0 0 0 0 0 0
0 0 0 1 1 1 1 1 1 1 ^ ^ ^ ^ ^ 1 1 1 1 1 1 0 0 0 > S 1 1 1 1 1 1 1 1 0 0 0 0 0 0
0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 W L ^ 1 1 1 1 1 1 1 0 0 0 0 0 0
0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 C O _ L R O R L R Q S 0 0 0 0 0
0 0 P 0 1 1 1 1 ^ ^ ^ ^ ^ ^ 0 0 0 0 S 0 0 0 0 0 C 0 v R D L W S B B C < 0 P 0 0
0 0 0 0 1 1 1 1 1 1 1 1 1 1 ^ ^ ^ 0 0 1 0 0 0 0 0 0 B B W D B ^ > < 1 ^ 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 > 0 0 0 0 0 0 0 0 0 1 W 1 v C _ S > v W ^ ^ ^ ^
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 O _ F Q Q S v 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 F B R < F Q Q < 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 W B 1 D Q 1 S _ v v v
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 D 1 1 D D L ^ D R R W
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 D 1 1 0 0 0 C Q _ C <
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 D 1 1 1 1 1 F > v 1 ^
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1 0 D 1 1 1 1 1 O v v S v
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 D 1 1 1 1 1 R B C L O
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 D 1 1 1 1 1 _ v 0 Q B
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 D 1 1 1 1 1 1 < 1 C Q
1 1 0 0 0 0 0 0 0 0 ^ ^ ^ ^ ^ ^ ^ ^ 0 1 1 1 0 0 0 0 0 0 0 D 1 1 1 1 1 1 ^ 1 0 v
