u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;u;););)
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;u;););u
u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u
f;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u;u
f;f;f;f;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö
f;f;f;f;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö
f;f;f;f;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö
f;f;f;f;u;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö
b;b;f;f;f;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö;ö;ö
b;b;f;f;f;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö;ö;ö
b;b;b;f;b;u;u;u;u;u;u;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;0;0;0;0;0;0;0;0;u;u;u;u;u;u;u;u;u;u;u;ö;ö;ö;ö;ö;ö
