P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;7;P;7
7;7;7;1;1;P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;7;P;7
7;7;7;1;1;P;7;7;1;P;P;P;P;P;P;7;7;7;7;7;1;1;1;1;1;1;1;1;1;P;P;P;P;P;7;7;7;7;P;P
P;P;P;P;P;P;1;1;1;1;1;P;7;P;7;7;7;7;7;7;1;1;1;1;1;1;1;1;1;7;7;P;7;7;7;7;P;P;P;7
7;7;P;7;7;1;1;1;1;1;1;P;7;P;P;P;7;7;7;7;7;7;7;7;1;1;1;1;1;7;7;P;7;7;7;7;7;7;P;7
7;7;P;7;7;7;7;7;P;P;P;P;7;P;7;7;7;7;7;T;T;T;T;T;T;T;T;P;P;P;P;P;7;7;7;7;7;7;P;7
P;P;P;P;7;7;7;7;7;7;7;P;P;P;P;P;P;7;7;T;T;T;T;T;T;T;T;T;T;P;7;P;7;7;7;7;7;7;7;7
7;7;P;7;7;7;T;T;T;T;T;P;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;7;P;7;7;7;7;7;7;7;7
7;7;P;7;7;7;T;T;T;T;T;P;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;7;7;7;7;7;7;7;7;7;7
7;7;7;7;7;7;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;7;7;7;7;7;7
7;7;7;P;7;7;T;T;T;T;T;T;T;T;T;T;7;7;7;7;T;T;T;T;T;T;T;T;T;T;T;7;7;7;7;7;7;7;7;7
7;7;7;P;P;7;7;7;7;7;T;T;T;T;T;T;7;7;7;7;T;T;T;T;T;T;T;T;T;T;T;7;7;7;7;7;7;7;7;7
7;7;7;P;7;7;7;7;7;7;T;T;T;T;T;T;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;P;7;7;7;7
P;P;P;P;7;7;7;P;7;7;7;7;7;7;7;7;7;7;7;P;7;7;7;7;P;7;7;7;7;7;7;7;7;7;7;P;7;7;7;7
