`;`;`;`;`;+;+;+;+;+;+;+;+;~;~;~;~
`;`;`;`;`;+;+;+;+;+;+;+;+;~;~;~;~
`;`;`;`;+;+;+;+;+;+;+;+;~;~;~;~;~
`;`;`;`;+;+;+;+;+;+;+;+;~;~;~;+;+
`;`;`;`;+;+;+;+;+;+;+;+;+;+;+;+;+
`;`;`;+;+;+;+;+;+;+;+;+;+;+;+;+;+
`;`;`;+;+;+;+;+;`;`;`;`;`;+;+;+;+
`;`;`;`;`;`;`;`;`;`;`;`;`;+;+;+;+
`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
~;~;~;`;`;`;`;`;`;`;`;`;`;`;`;`;`
~;~;~;`;`;`;`;`;`;`;+;+;+;+;+;+;+
~;~;~;`;`;`;`;`;`;`;+;+;+;+;+;+;+
