r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;r;r;r;r;r;r;r;r
q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;r;r;r;r;r;r;r;r
q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;r;r;r;r;r;r;r;r
q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;r;r;r;r;r;r;r;r
q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;q;q;q;r;r;r
q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;q;q;q;r;r;r
q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;q;q;q;r;r;r
q;r;r;r;r;r;r;r;r;r;r;r;q;q;q;q;q;q;q;q;q;q;r;r;r
