7;P;7;7;7;7;1;1;1;1;1;7;7;7;7;7;7;7;7
P;P;7;7;7;7;1;1;1;1;1;7;1;7;7;7;7;7;7
7;P;7;7;7;7;1;1;1;1;1;1;7;7;7;7;7;7;7
P;P;P;P;7;7;1;1;1;1;1;1;7;7;7;7;7;7;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;7;7;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;P;P;P
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;7;P;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;P;P;P
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;7;P;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;P;7;P;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;P;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;P;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;P;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;P;7
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;P;P;P
