T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;P;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;P;P;P;P;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;P;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;P;7;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;P;P;P;P
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;P;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;P;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;P;7
T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T;7;7;7;7;7
