P;P;P;P;X;X;X;X;X;X;P;P;P;P;P;P;X;X;X;X;X;X;X;X;X;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;0;0;0;0;0;0;0;0;0;0;0
