q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;r;q;q;r;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
0;r;0;0;r;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
0;r;0;0;r;0;0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;r;q;q;r;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;q;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
q;r;q;q;q;q;q;q;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
0;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r
