T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;T;T
T;T;T;T;T;T;T;T;T;T;T;T;1;1
T;T;T;T;T;T;T;T;T;T;T;T;1;1
7;7;7;7;T;T;T;T;1;1;1;1;1;1
7;7;7;7;T;T;T;T;1;1;1;1;1;1
7;7;7;7;7;7;7;7;7;7;7;1;1;1
7;7;7;7;7;7;7;7;7;7;7;1;1;1
7;7;7;7;7;7;P;7;7;7;7;1;1;1
7;7;7;7;7;7;P;7;7;7;7;1;1;1
7;7;7;7;7;7;P;7;7;7;7;1;1;1
7;7;7;7;7;P;P;P;P;P;P;1;1;1
7;7;7;7;7;1;P;1;1;1;P;1;1;1
7;7;7;7;7;1;P;1;1;P;P;P;P;P
7;7;7;7;7;1;P;1;1;1;1;1;7;P
7;7;7;7;7;1;1;1;1;1;1;1;7;P
7;7;7;7;7;1;1;1;1;1;1;1;7;P
