+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
