0;o;C;C;C;C;0;0;0;0;0;0;0;0;C;C;C;C;C;C;C;C;C;C;C;C;C
0;o;C;C;C;C;0;0;0;0;0;0;0;0;C;C;C;C;C;C;C;C;C;C;C;C;C
0;o;C;C;C;C;0;0;0;0;0;0;0;0;C;C;C;C;C;C;C;C;C;C;C;C;C
0;o;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;o;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;o;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
0;0;0;0;0;0;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
o;o;o;o;o;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
C;C;C;C;C;o;0;0;0;0;0;0;0;0;o;C;C;C;C;C;C;C;C;C;C;C;C
