p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p
p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;o;p
p;p;o;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
p;p;p;p;p;p;p;p;5;p;p;p;p;p;p;p;p;p;5;p;p;p;p
p;p;p;p;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p
p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p
p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;p;p
p;o;p;p;p;p;p;p;p;p;p;p;p;5;p;p;p;p;p;p;o;p;p
p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
p;p;p;o;p;p;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p
o;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;p
p;p;p;p;p;p;5;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;o;p;p
p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
p;5;p;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p
p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;p;p;p;p
p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;o;p
o;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
p;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;p
p;p;p;p;p;p;o;p;p;p;p;p;p;p;p;p;p;o;p;p;p;p;p
p;p;o;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;o;p
p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p
